"from","to"
"MIA","MLH"
"MIA","AKR"
"MIA","CRG"
"MIA","DOV"
"MIA","CTM"
"MIA","SCU"
"MIA","OSC"
"MIA","CMW"
"MIA","CFB"
"MIA","SQQ"
"MIA","MZJ"
"MIA","LNN"
"MIA","CYB"
"MIA","AGT"
"MIA","CAT"
"LAX","FRA"
"AMS","FRA"
"LAX","IST"
"AMS","IST"
"LAX","ORD"
"AMS","ORD"
"LAX","DFW"
"AMS","DFW"
"LAX","CDG"
"AMS","CDG"
"LAX","AMS"
"LAX","DEN"
"LAX","DXB"
"AMS","DXB"
"LAX","ATL"
"AMS","ATL"
"LAX","LHR"
"AMS","LHR"
"LAX","MIA"
"LAX","JFK"
"AMS","JFK"
"AMS","LAX"
"LAX","CLT"
"LAX","MAD"
"AMS","MAD"
"LAX","YYZ"
