league,lat,long,team,rank,color1,color2,class
MLS,39.96846, -83.01709,Columbus Crew, 5,#FEDD00,#FEDD00,mls
MLS,38.86833, -77.01222,D.C. United, 5,#EF3E42,#231F20,mls
MLS,39.11139, -84.52222,FC Cincinnati, 5,#F05323,#263B80,mls
MLS,33.15444, -96.83528,FC Dallas, 5,#E81F3E,#2A4076,mls
MLS,29.75220, -95.35240,Houston Dynamo FC, 5,#101820,#FF6B00,mls
MLS,26.19306, -80.16111,Inter Miami CF, 5,#f7b5cd,#231f20,mls
MLS,33.86444,-118.26111,LA Galaxy, 5,#00245D,#0065A4,mls
MLS,34.01306,-118.28500,Los Angeles FC, 5,#c39e6d,#e31837,mls
MLS,44.95278, -93.16500,Minnesota United FC, 5,#E4E5E6,#8CD2F4,mls
MLS,36.13028, -86.76556,Nashville SC, 5,#ECE83A,#1F1646,mls
MLS,42.09094, -71.26434,New England Revolution, 5,#CE0E2D,#0A2240,mls
MLS,40.82917, -73.92639,New York City FC, 5,#6CACE4,#041E42,mls
MLS,40.73667, -74.15028,New York Red Bulls, 5,#ED1E36,#23326A,mls
MLS,28.62440, -81.38904,Orlando City SC, 5,#633492,#FDE192,mls
MLS,39.83222, -75.37889,Philadelphia Union, 5,#071B2C,#B19B69,mls
MLS,45.52139,-122.69167,Portland Timbers, 5,#00482B,#d69a00,mls
MLS,40.58292,-111.89316,Real Salt Lake, 5,#B30838,#013A81,mls
MLS,32.78444,-117.12283,San Diego FC, 5,#02152B,#697A7C,mls
MLS,37.35139,-121.92500,San Jose Earthquakes, 5,#0067B1,#E31837,mls
MLS,47.59520,-122.33160,Seattle Sounders FC, 5,#005595,#5D9741,mls
MLS,39.12180, -94.82370,Sporting Kansas City, 5,#91B0D5,#002F65,mls
MLS,38.63106, -90.21048,St. Louis City SC, 5,#E0004D,#0C2340,mls
MLS,43.63278, -79.41861,Toronto FC, 5,#B81137,#455560,mls
MLS,49.27667,-123.11194,Vancouver Whitecaps FC, 5,#00245E,#9DC2EA,mls
SEC Football,33.20828, -87.55038,Alabama Crimson Tide, 6,#9e1b32,#828a8f,ncaa
SEC Football,36.06805, -94.17892,Arkansas Razorbacks, 6,#9D2235,#9D2235,ncaa
SEC Football,32.60221, -85.48913,Auburn Tigers, 6,#0C2340,#E87722,ncaa
SEC Football,29.64994, -82.34868,Florida Gators, 6,#0021A5,#FA4616,ncaa
SEC Football,33.94981, -83.37334,Georgia Bulldogs, 6,#BA0C2F,#BA0C2F,ncaa
SEC Football,38.02275, -84.50518,Kentucky Wildcats, 6,#0033a0,#0033A0,ncaa
SEC Football,30.41203, -91.18382,LSU Tigers, 6,#461D7C,#FDD023,ncaa
SEC Football,33.45642, -88.79338,Mississippi State Bulldogs, 6,#660000,#ffffff,ncaa
SEC Football,38.93584, -92.33321,Missouri Tigers, 6,#F1B82D,#F1B82D,ncaa
SEC Football,34.36194, -89.53422,Ole Miss Rebels, 6,#CE1126,#14213D,ncaa
SEC Football,33.97309, -81.01919,South Carolina Gamecocks, 6,#73000A,#73000A,ncaa
SEC Football,35.95502, -83.92501,Tennessee Volunteers, 6,#FF8200,#58595b,ncaa
SEC Football,30.61009, -96.34010,Texas A&M Aggies, 6,#500000,#500000,ncaa
SEC Football,36.14387, -86.80894,Vanderbilt Commodores, 6,#866d4b,#866D4B,ncaa
Big Ten Football,40.09930, -88.23596,Illinois Fighting Illini, 7,#13294b,#E84A27,ncaa
Big Ten Football,39.18090, -86.52563,Indiana Hoosiers, 7,#990000,#EEEDEB,ncaa
Big Ten Football,41.65865, -91.55110,Iowa Hawkeyes, 7,#FFCD00,#FFCD00,ncaa
Big Ten Football,38.99027, -76.94724,Maryland Terrapins, 7,#E03a3e,#ffd520,ncaa
Big Ten Football,42.72819, -84.48488,Michigan State Spartans, 7,#18453B,#18453B,ncaa
Big Ten Football,42.26584, -83.74870,Michigan Wolverines, 7,#00274c,#ffcb05,ncaa
Big Ten Football,44.97653, -93.22455,Minnesota Golden Gophers, 7,#7A0019,#FFCC33,ncaa
Big Ten Football,40.82070, -96.70559,Nebraska Cornhuskers, 7,#e41c38,#fdf2d9,ncaa
Big Ten Football,42.06545, -87.69249,Northwestern Wildcats, 7,#4E2A84,#4E2A84,ncaa
Big Ten Football,40.00166, -83.01973,Ohio State Buckeyes, 7,#BB0000,#666666,ncaa
Big Ten Football,40.81220, -77.85610,Penn State Nittany Lions, 7,#041E42,#041E42,ncaa
Big Ten Football,40.43436, -86.91844,Purdue Boilermakers, 7,#ceb888,#9d968D,ncaa
Big Ten Football,40.51361, -74.46528,Rutgers Scarlet Knights, 7,#cc0033,#5F6A72,ncaa
Big Ten Football,34.16133,-118.16765,UCLA Bruins, 7,#2d68c4,#f2a900,ncaa
Big Ten Football,34.01405,-118.28788,USC Trojans, 7,#990000,#FFC72C,ncaa
Big Ten Football,43.06994, -89.41269,Wisconsin Badgers, 7,#c5050c,#ffffff,ncaa
Big 12 Football,31.55820, -97.11567,Baylor Bears, 8,#154734,#FFB81C,ncaa
Big 12 Football,42.01397, -93.63576,Iowa State Cyclones, 8,#C8102E,#F1BE48,ncaa
Big 12 Football,38.96294, -95.24637,Kansas Jayhawks, 8,#0051BA,#E8000D,ncaa
Big 12 Football,39.20200, -96.59386,Kansas State Wildcats, 8,#512888,#d1d1d1,ncaa
Big 12 Football,35.20585, -97.44231,Oklahoma Sooners, 8,#841617,#FDF9D8,ncaa
Big 12 Football,36.12564, -97.06649,Oklahoma State Cowboys, 8,#FF7300,#FF7300,ncaa
Big 12 Football,32.70965, -97.36736,TCU Horned Frogs, 8,#4d1979,#a3a9ac,ncaa
Big 12 Football,30.28354, -97.73252,Texas Longhorns, 8,#bf5700,#333f48,ncaa
Big 12 Football,33.59106,-101.87289,Texas Tech Red Raiders, 8,#CC0000,#CC0000,ncaa
Big 12 Football,39.65015, -79.95508,West Virginia Mountaineers, 8,#002855,#EAAA00,ncaa
Pac-12 Football,33.42645,-111.93257,Arizona State Sun Devils, 9,#8C1D40,#FFC627,ncaa
Pac-12 Football,32.22884,-110.94884,Arizona Wildcats, 9,#CC0033,#003366,ncaa
Pac-12 Football,37.87066,-122.25078,California Golden Bears, 9,#003262,#3B7EA1,ncaa
Pac-12 Football,40.00947,-105.26689,Colorado Buffaloes, 9,#CFB87C,#A2A4A3,ncaa
Pac-12 Football,44.05826,-123.06849,Oregon Ducks, 9,#154733,#FEE123,ncaa
Pac-12 Football,44.55955,-123.28140,Oregon State Beavers, 9,#dc4405,#ffffff,ncaa
Pac-12 Football,37.43453,-122.16112,Stanford Cardinal, 9,#8C1515,#4D4F53,ncaa
Pac-12 Football,40.75975,-111.84903,Utah Utes, 9,#CC0000,#808080,ncaa
Pac-12 Football,47.65032,-122.30161,Washington Huskies, 9,#4B2E83,#b7a57a,ncaa
Pac-12 Football,46.73184,-117.16047,Washington State Cougars, 9,#981E32,#5E6A71,ncaa
ACC Football,42.33513, -71.16647,Boston College Eagles,10,#98002E,#BC9B6A,ncaa
ACC Football,34.67908, -82.84332,Clemson Tigers,10,#F56600,#522D80,ncaa
ACC Football,35.99536, -78.94174,Duke Blue Devils,10,#003087,#ffffff,ncaa
ACC Football,30.43815, -84.30442,Florida State Seminoles,10,#782F40,#CEB888,ncaa
ACC Football,33.77259, -84.39325,Georgia Tech Yellow Jackets,10,#B3A369,#A28D5B,ncaa
ACC Football,38.20587, -85.75881,Louisville Cardinals,10,#AD0000,#FDB913,ncaa
ACC Football,25.95797, -80.23886,Miami Hurricanes,10,#F47321,#005030,ncaa
ACC Football,35.80080, -78.71957,NC State Wolfpack,10,#CC0000,#CC0000,ncaa
ACC Football,35.90695, -79.04786,North Carolina Tar Heels,10,#7BAFD4,#13294B,ncaa
ACC Football,40.44676, -80.01576,Pittsburgh Panthers,10,#003594,#FFB81C,ncaa
ACC Football,43.03623, -76.13629,Syracuse Orange,10,#F76900,#000E54,ncaa
ACC Football,38.03113, -78.51393,Virginia Cavaliers,10,#232D4B,#F84C1E,ncaa
ACC Football,37.21999, -80.41806,Virginia Tech Hokies,10,#630031,#cf4420,ncaa
ACC Football,36.13146, -80.25545,Wake Forest Demon Deacons,10,#9E7E38,#9E7E38,ncaa
MAC Football,41.07259, -81.50835,Akron Zips,11,#041E42,#A89968,ncaa
MAC Football,40.21595, -85.41684,Ball State Cardinals,11,#BA0C2F,NA,ncaa
MAC Football,41.37801, -83.62250,Bowling Green Falcons,11,#FE5000,#4F2C1D,ncaa
MAC Football,42.99914, -78.77752,Buffalo Bulls,11,#005BBB,NA,ncaa
MAC Football,43.57763, -84.77085,Central Michigan Chippewas,11,#6A0032,#FFC82E,ncaa
MAC Football,42.25588, -83.64738,Eastern Michigan Eagles,11,#006633,NA,ncaa
