"year","stage","lat1","long1","lat2","long2"
1986,1,32.60253,-85.49301,33.7690164,-118.191604
1986,1,32.527,-92.074,33.7690164,-118.191604
1986,1,32.23,-110.95,33.7690164,-118.191604
1986,1,31.777608,-106.505718,41.2230048,-111.9738429
1986,1,30.4142,-91.1845,30.4507936,-91.1391153
1986,1,30.35028,-81.605,39.7589478,-84.1916069
1986,2,44.9772995,-93.2654692,39.100105,-94.5781416
1986,2,43.0481221,-76.1474244,40.833989,-74.0970865
1986,2,41.2230048,-111.9738429,29.7589382,-95.3676974
1986,2,39.7589478,-84.1916069,39.100105,-94.5781416
1986,2,36.0726355,-79.7919754,40.833989,-74.0970865
1986,2,35.2272086,-80.8430827,33.7489924,-84.3902644
1986,2,33.7690164,-118.191604,29.7589382,-95.3676974
1986,2,30.4507936,-91.1391153,33.7489924,-84.3902644
1986,3,40.833989,-74.0970865,32.7762719,-96.7968559
1986,3,39.100105,-94.5781416,32.7762719,-96.7968559
1986,3,33.7489924,-84.3902644,32.7762719,-96.7968559
1986,3,29.7589382,-95.3676974,32.7762719,-96.7968559
1987,1,43.580888,-84.773941,40.7596198,-111.886797
1987,1,43.03611,-76.13639,43.0481221,-76.1474244
1987,1,42.8645,-112.429,40.7596198,-111.886797
1987,1,42.34111,-71.08444,43.0481221,-76.1474244
1987,1,42.265037,-83.746768,35.2272086,-80.8430827
1987,1,41.85361,-87.62139,41.9941334,-87.8756737
1987,1,41.82361,-71.41833,33.5206824,-86.8024326
1987,1,41.718431,-73.934,32.2228765,-110.9748477
1987,1,41.698443,-86.231292,35.2272086,-80.8430827
1987,1,41.66361,-91.55444,32.2228765,-110.9748477
1987,1,41.3133444,-105.5694194,40.7596198,-111.886797
1987,1,41.1601694,-73.2580667,39.7683331,-86.1583502
1987,1,40.956964,-76.887093,33.7489924,-84.3902644
1987,1,40.80889,-77.85583,35.2272086,-80.8430827
1987,1,40.72417,-73.79444,41.9941334,-87.8756737
1987,1,40.443777,-79.962274,32.2228765,-110.9748477
1987,1,40.4333222,-86.9161444,43.0481221,-76.1474244
1987,1,40.254,-111.649,33.5206824,-86.8024326
1987,1,40.096259,-88.235956,33.5206824,-86.8024326
1987,1,40.00528,-83.01889,33.7489924,-84.3902644
1987,1,39.97972,-75.15861,41.9941334,-87.8756737
1987,1,39.64917,-79.98111,43.0481221,-76.1474244
1987,1,39.18083,-86.52222,39.7683331,-86.1583502
1987,1,39.150148,-84.471881,39.7683331,-86.1583502
1987,1,38.984491,-76.487782,35.2272086,-80.8430827
1987,1,38.954306,-95.2523944,33.7489924,-84.3902644
1987,1,38.954306,-95.2523944,40.7596198,-111.886797
1987,1,38.93237,-92.33303,39.7683331,-86.1583502
1987,1,38.89806,-77.02083,33.7489924,-84.3902644
1987,1,38.424908,-82.426575,35.2272086,-80.8430827
1987,1,38.04944,-84.50278,33.7489924,-84.3902644
1987,1,38.046,-78.507,40.7596198,-111.886797
1987,1,37.72167,-97.2975,41.9941334,-87.8756737
1987,1,37.3491111,-121.9353028,32.2228765,-110.9748477
1987,1,37.32,-89.5271,33.7489924,-84.3902644
1987,1,36.98583,-86.4575,43.0481221,-76.1474244
1987,1,36.53611,-87.35694,33.5206824,-86.8024326
1987,1,36.14861,-95.94194,32.2228765,-110.9748477
1987,1,36.12583,-97.065,32.2228765,-110.9748477
1987,1,36.105,-115.14417,40.7596198,-111.886797
1987,1,36.076783,-79.768849,33.5206824,-86.8024326
1987,1,35.9976,-78.9422,39.7683331,-86.1583502
1987,1,35.89972,-79.04389,35.2272086,-80.8430827
1987,1,35.8524667,-86.3698028,35.2272086,-80.8430827
1987,1,35.783,-78.67,43.0481221,-76.1474244
1987,1,34.68028,-82.84639,33.7489924,-84.3902644
1987,1,34.070211,-118.446775,40.7596198,-111.886797
1987,1,33.9428,-83.378,40.7596198,-111.886797
1987,1,33.78083,-84.39278,41.9941334,-87.8756737
1987,1,33.5021639,-86.8092444,33.5206824,-86.8024326
1987,1,33.202939,-87.539706,33.5206824,-86.8024326
1987,1,32.77375,-117.074583,39.7683331,-86.1583502
1987,1,32.708774,-97.36673,35.2272086,-80.8430827
1987,1,32.60253,-85.49301,39.7683331,-86.1583502
1987,1,32.5321,-92.6584,41.9941334,-87.8756737
1987,1,32.42778,-81.77944,43.0481221,-76.1474244
1987,1,32.23,-110.95,32.2228765,-110.9748477
1987,1,31.777608,-106.505718,32.2228765,-110.9748477
1987,1,30.60578,-96.34619,39.7683331,-86.1583502
1987,1,30.4142,-91.1845,41.9941334,-87.8756737
1987,1,30.03,-90.05056,33.5206824,-86.8024326
1987,1,29.72472,-95.34694,33.7489924,-84.3902644
1987,1,29.72278,-95.36528,41.9941334,-87.8756737
1987,1,29.64944,-82.35111,43.0481221,-76.1474244
1987,2,43.0481221,-76.1474244,40.833989,-74.0970865
1987,2,41.9941334,-87.8756737,39.1014537,-84.5124602
1987,2,40.7596198,-111.886797,47.6038321,-122.330062
1987,2,39.7683331,-86.1583502,39.1014537,-84.5124602
1987,2,35.2272086,-80.8430827,40.833989,-74.0970865
1987,2,33.7489924,-84.3902644,38.2542376,-85.759407
1987,2,33.5206824,-86.8024326,38.2542376,-85.759407
1987,2,32.2228765,-110.9748477,47.6038321,-122.330062
1987,3,47.6038321,-122.330062,29.9759983,-90.0782127
1987,3,40.833989,-74.0970865,29.9759983,-90.0782127
1987,3,39.1014537,-84.5124602,29.9759983,-90.0782127
1987,3,38.2542376,-85.759407,29.9759983,-90.0782127
1988,1,44.045,-123.066,33.7489924,-84.3902644
1988,1,43.604,-116.204,40.7596198,-111.886797
1988,1,43.03611,-76.13639,35.9131542,-79.05578
1988,1,42.445794,-76.476581,34.0536909,-118.242766
1988,1,42.353932,-71.120355,35.9131542,-79.05578
1988,1,42.265037,-83.746768,40.7596198,-111.886797
1988,1,42.25444,-83.64722,40.8088861,-96.7077751
1988,1,42.02101,-93.634763,41.7670941544664,-72.6601737056397
1988,1,41.85361,-87.62139,41.6833813,-86.2500066
1988,1,41.748,-111.812,40.8088861,-96.7077751
1988,1,41.698443,-86.231292,35.9131542,-79.05578
1988,1,41.66361,-91.55444,34.0536909,-118.242766
1988,1,41.4875,-71.53556,35.9131542,-79.05578
1988,1,41.3133444,-105.5694194,40.7596198,-111.886797
1988,1,40.8967,-74.0324,41.6833813,-86.2500066
1988,1,40.73361,-74.17111,34.0536909,-118.242766
1988,1,40.72417,-73.79444,40.7596198,-111.886797
1988,1,40.69167,-89.59417,33.7489924,-84.3902644
1988,1,40.58444,-75.35694,41.7670941544664,-72.6601737056397
1988,1,40.443777,-79.962274,40.8088861,-96.7077751
1988,1,40.4333222,-86.9161444,41.6833813,-86.2500066
1988,1,40.254,-111.649,33.7489924,-84.3902644
1988,1,40.096259,-88.235956,39.1014537,-84.5124602
1988,1,40.039993,-75.15654,41.6833813,-86.2500066
1988,1,40.034072,-75.336553,39.1014537,-84.5124602
1988,1,39.97972,-75.15861,41.7670941544664,-72.6601737056397
1988,1,39.18083,-86.52222,41.7670941544664,-72.6601737056397
1988,1,39.150148,-84.471881,40.8088861,-96.7077751
1988,1,38.99528,-76.94139,39.1014537,-84.5124602
1988,1,38.954306,-95.2523944,40.8088861,-96.7077751
1988,1,38.954306,-95.2523944,41.6833813,-86.2500066
1988,1,38.93237,-92.33303,35.9131542,-79.05578
1988,1,38.89806,-77.02083,41.7670941544664,-72.6601737056397
1988,1,38.2575,-85.75389,33.7489924,-84.3902644
1988,1,38.04944,-84.50278,39.1014537,-84.5124602
1988,1,37.72167,-97.2975,41.6833813,-86.2500066
1988,1,37.580701,-77.538987,41.7670941544664,-72.6601737056397
