team,id,level,org,lat,long
Durham Bulls, 234,4,Tampa Bay Rays,35.99171, -78.90406
Montgomery Biscuits, 421,3,Tampa Bay Rays,32.38226, -86.31057
Bowling Green Hot Rods,2498,2,Tampa Bay Rays,36.99672, -86.44150
Charleston RiverDogs, 233,1,Tampa Bay Rays,32.79053, -79.96132
Texas Rangers, 140,5,Texas Rangers,32.75130, -97.08279
Round Rock Express, 102,4,Texas Rangers,30.52773, -97.63006
Frisco RoughRiders, 540,3,Texas Rangers,33.15067, -96.82361
Hub City Spartanburgers,6324,2,Texas Rangers,34.94494, -81.93594
Hickory Crawdads, 448,1,Texas Rangers,35.74912, -81.37877
Toronto Blue Jays, 141,5,Toronto Blue Jays,43.64129, -79.38932
Buffalo Bisons, 422,4,Toronto Blue Jays,42.88044, -78.87376
New Hampshire Fisher Cats, 463,3,Toronto Blue Jays,42.98217, -71.46656
Vancouver Canadians, 435,2,Toronto Blue Jays,49.24327,-123.10616
Dunedin Blue Jays, 424,1,Toronto Blue Jays,28.00410, -82.78728
Washington Nationals, 120,5,Washington Nationals,38.87334, -77.00750
Rochester Red Wings, 534,4,Washington Nationals,43.15832, -77.61966
Harrisburg Senators, 547,3,Washington Nationals,40.25627, -76.88994
Wilmington Blue Rocks, 426,2,Washington Nationals,39.73222, -75.56500
Fredericksburg Nationals, 436,1,Washington Nationals,38.30318, -77.46054
