league,lat,long,team,color1,color2,teamID,metroID
NCAA,33.77259, -84.39325,Georgia Tech Yellow Jackets,#B3A369,#A28D5B,126, 108
NCAA,21.29433,-157.81717,Hawaii Rainbow Warriors,#024731,#c8c8c8,127, 630
NCAA,29.72201, -95.34917,Houston Cougars,#C8102E,#76232F,128, 114
NCAA,40.09930, -88.23596,Illinois Fighting Illini,#13294b,#E84A27,129,2289
NCAA,39.18090, -86.52563,Indiana Hoosiers,#990000,#EEEDEB,130,3144
NCAA,41.65865, -91.55110,Iowa Hawkeyes,#FFCD00,#FFCD00,131,1603
NCAA,42.01397, -93.63576,Iowa State Cyclones,#C8102E,#F1BE48,132, 953
NCAA,38.43530, -78.87291,James Madison Dukes,#450084,#CBB677,133,3075
NCAA,38.96294, -95.24637,Kansas Jayhawks,#0051BA,#E8000D,134,2270
NCAA,39.20200, -96.59386,Kansas State Wildcats,#512888,#d1d1d1,135,3694
NCAA,41.13902, -81.31366,Kent State Golden Flashes,#002664,#EAAB00,136, 239
NCAA,38.02275, -84.50518,Kentucky Wildcats,#0033a0,#0033A0,137,1294
NCAA,37.35435, -79.17514,Liberty Flames,#002d62,#c41230,138,2763
NCAA,32.53095, -92.06603,Louisiana-Monroe Warhawks,#840029,#FDB913,139,3036
NCAA,30.21581, -92.04173,Louisiana Ragin' Cajuns,#ce181e,#0a0203,140,1518
NCAA,32.53202, -92.65584,Louisiana Tech Bulldogs,#002F8B,#E31B23,141,5332
NCAA,38.20587, -85.75881,Louisville Cardinals,#AD0000,#FDB913,142, 638
NCAA,30.41203, -91.18382,LSU Tigers,#461D7C,#FDD023,143, 974
NCAA,38.42492, -82.42102,Marshall Thundering Herd,#00B140,#A2AAAD,144,2203
NCAA,38.99027, -76.94724,Maryland Terrapins,#E03a3e,#ffd520,145,  61
NCAA,35.12110, -89.97743,Memphis Tigers,#003087,#898D8D,146, 597
NCAA,39.51952, -84.73294,Miami (OH) RedHawks,#b61e2e,#b61e2e,147, 352
NCAA,25.95797, -80.23886,Miami Hurricanes,#F47321,#005030,148,  65
NCAA,42.72819, -84.48488,Michigan State Spartans,#18453B,#18453B,149,1384
NCAA,42.26584, -83.74870,Michigan Wolverines,#00274c,#ffcb05,150,1750
