"name","lev","p1","p2","p3","p4"
"Funeral Home",2,"Professional & Other Places","Funeral Home","Funeral Home","Funeral Home"
"Government Building",2,"Professional & Other Places","Government Building","Government Building","Government Building"
"Capitol Building",3,"Professional & Other Places","Government Building","Capitol Building","Capitol Building"
"City Hall",3,"Professional & Other Places","Government Building","City Hall","City Hall"
"Courthouse",3,"Professional & Other Places","Government Building","Courthouse","Courthouse"
"Embassy / Consulate",3,"Professional & Other Places","Government Building","Embassy / Consulate","Embassy / Consulate"
"Fire Station",3,"Professional & Other Places","Government Building","Fire Station","Fire Station"
"Monument / Landmark",3,"Professional & Other Places","Government Building","Monument / Landmark","Monument / Landmark"
"Police Station",3,"Professional & Other Places","Government Building","Police Station","Police Station"
"Town Hall",3,"Professional & Other Places","Government Building","Town Hall","Town Hall"
"Industrial Estate",2,"Professional & Other Places","Industrial Estate","Industrial Estate","Industrial Estate"
"Library",2,"Professional & Other Places","Library","Library","Library"
"Meadery",2,"Professional & Other Places","Meadery","Meadery","Meadery"
"Medical Center",2,"Professional & Other Places","Medical Center","Medical Center","Medical Center"
"Acupuncturist",3,"Professional & Other Places","Medical Center","Acupuncturist","Acupuncturist"
"Alternative Healer",3,"Professional & Other Places","Medical Center","Alternative Healer","Alternative Healer"
"Blood Donation Center",3,"Professional & Other Places","Medical Center","Blood Donation Center","Blood Donation Center"
"Chiropractor",3,"Professional & Other Places","Medical Center","Chiropractor","Chiropractor"
"Dentist's Office",3,"Professional & Other Places","Medical Center","Dentist's Office","Dentist's Office"
"Doctor's Office",3,"Professional & Other Places","Medical Center","Doctor's Office","Doctor's Office"
"Emergency Room",3,"Professional & Other Places","Medical Center","Emergency Room","Emergency Room"
"Eye Doctor",3,"Professional & Other Places","Medical Center","Eye Doctor","Eye Doctor"
"Hospice",3,"Professional & Other Places","Medical Center","Hospice","Hospice"
"Hospital",3,"Professional & Other Places","Medical Center","Hospital","Hospital"
"Hospital Ward",4,"Professional & Other Places","Medical Center","Hospital","Hospital Ward"
"Maternity Clinic",3,"Professional & Other Places","Medical Center","Maternity Clinic","Maternity Clinic"
"Medical Lab",3,"Professional & Other Places","Medical Center","Medical Lab","Medical Lab"
"Mental Health Office",3,"Professional & Other Places","Medical Center","Mental Health Office","Mental Health Office"
"Nutritionist",3,"Professional & Other Places","Medical Center","Nutritionist","Nutritionist"
"Physical Therapist",3,"Professional & Other Places","Medical Center","Physical Therapist","Physical Therapist"
"Rehab Center",3,"Professional & Other Places","Medical Center","Rehab Center","Rehab Center"
"Urgent Care Center",3,"Professional & Other Places","Medical Center","Urgent Care Center","Urgent Care Center"
"Veterinarian",3,"Professional & Other Places","Medical Center","Veterinarian","Veterinarian"
"Military Base",2,"Professional & Other Places","Military Base","Military Base","Military Base"
"Non-Profit",2,"Professional & Other Places","Non-Profit","Non-Profit","Non-Profit"
"Observatory",2,"Professional & Other Places","Observatory","Observatory","Observatory"
"Office",2,"Professional & Other Places","Office","Office","Office"
"Advertising Agency",3,"Professional & Other Places","Office","Advertising Agency","Advertising Agency"
"Campaign Office",3,"Professional & Other Places","Office","Campaign Office","Campaign Office"
"Conference Room",3,"Professional & Other Places","Office","Conference Room","Conference Room"
"Corporate Amenity",3,"Professional & Other Places","Office","Corporate Amenity","Corporate Amenity"
"Corporate Cafeteria",3,"Professional & Other Places","Office","Corporate Cafeteria","Corporate Cafeteria"
"Corporate Coffee Shop",3,"Professional & Other Places","Office","Corporate Coffee Shop","Corporate Coffee Shop"
"Coworking Space",3,"Professional & Other Places","Office","Coworking Space","Coworking Space"
"Tech Startup",3,"Professional & Other Places","Office","Tech Startup","Tech Startup"
"Parking",2,"Professional & Other Places","Parking","Parking","Parking"
"Post Office",2,"Professional & Other Places","Post Office","Post Office","Post Office"
"Power Plant",2,"Professional & Other Places","Power Plant","Power Plant","Power Plant"
"Prison",2,"Professional & Other Places","Prison","Prison","Prison"
"Radio Station",2,"Professional & Other Places","Radio Station","Radio Station","Radio Station"
"Recruiting Agency",2,"Professional & Other Places","Recruiting Agency","Recruiting Agency","Recruiting Agency"
"Research Laboratory",2,"Professional & Other Places","Research Laboratory","Research Laboratory","Research Laboratory"
"Research Station",2,"Professional & Other Places","Research Station","Research Station","Research Station"
"School",2,"Professional & Other Places","School","School","School"
"Adult Education Center",3,"Professional & Other Places","School","Adult Education Center","Adult Education Center"
"Circus School",3,"Professional & Other Places","School","Circus School","Circus School"
"Cooking School",3,"Professional & Other Places","School","Cooking School","Cooking School"
"Driving School",3,"Professional & Other Places","School","Driving School","Driving School"
"Elementary School",3,"Professional & Other Places","School","Elementary School","Elementary School"
"Flight School",3,"Professional & Other Places","School","Flight School","Flight School"
"High School",3,"Professional & Other Places","School","High School","High School"
"Language School",3,"Professional & Other Places","School","Language School","Language School"
"Middle School",3,"Professional & Other Places","School","Middle School","Middle School"
"Music School",3,"Professional & Other Places","School","Music School","Music School"
"Nursery School",3,"Professional & Other Places","School","Nursery School","Nursery School"
"Preschool",3,"Professional & Other Places","School","Preschool","Preschool"
"Private School",3,"Professional & Other Places","School","Private School","Private School"
"Religious School",3,"Professional & Other Places","School","Religious School","Religious School"
"Swim School",3,"Professional & Other Places","School","Swim School","Swim School"
"Social Club",2,"Professional & Other Places","Social Club","Social Club","Social Club"
"Veterans' Organization",3,"Professional & Other Places","Social Club","Veterans' Organization","Veterans' Organization"
"Spiritual Center",2,"Professional & Other Places","Spiritual Center","Spiritual Center","Spiritual Center"
"Buddhist Temple",3,"Professional & Other Places","Spiritual Center","Buddhist Temple","Buddhist Temple"
"Cemevi",3,"Professional & Other Places","Spiritual Center","Cemevi","Cemevi"
"Church",3,"Professional & Other Places","Spiritual Center","Church","Church"
"Confucian Temple",3,"Professional & Other Places","Spiritual Center","Confucian Temple","Confucian Temple"
"Hindu Temple",3,"Professional & Other Places","Spiritual Center","Hindu Temple","Hindu Temple"
"Kingdom Hall",3,"Professional & Other Places","Spiritual Center","Kingdom Hall","Kingdom Hall"
"Monastery",3,"Professional & Other Places","Spiritual Center","Monastery","Monastery"
"Mosque",3,"Professional & Other Places","Spiritual Center","Mosque","Mosque"
"Prayer Room",3,"Professional & Other Places","Spiritual Center","Prayer Room","Prayer Room"
"Shrine",3,"Professional & Other Places","Spiritual Center","Shrine","Shrine"
"Sikh Temple",3,"Professional & Other Places","Spiritual Center","Sikh Temple","Sikh Temple"
"Synagogue",3,"Professional & Other Places","Spiritual Center","Synagogue","Synagogue"
"Temple",3,"Professional & Other Places","Spiritual Center","Temple","Temple"
"Terreiro",3,"Professional & Other Places","Spiritual Center","Terreiro","Terreiro"
"TV Station",2,"Professional & Other Places","TV Station","TV Station","TV Station"
"Voting Booth",2,"Professional & Other Places","Voting Booth","Voting Booth","Voting Booth"
"Warehouse",2,"Professional & Other Places","Warehouse","Warehouse","Warehouse"
"Waste Facility",2,"Professional & Other Places","Waste Facility","Waste Facility","Waste Facility"
"Wedding Hall",2,"Professional & Other Places","Wedding Hall","Wedding Hall","Wedding Hall"
"Winery",2,"Professional & Other Places","Winery","Winery","Winery"
"Residence",1,"Residence","Residence","Residence","Residence"
"Assisted Living",2,"Residence","Assisted Living","Assisted Living","Assisted Living"
"Home (private)",2,"Residence","Home (private)","Home (private)","Home (private)"
"Housing Development",2,"Residence","Housing Development","Housing Development","Housing Development"
"Residential Building (Apartment / Condo)",2,"Residence","Residential Building (Apartment / Condo)","Residential Building (Apartment / Condo)","Residential Building (Apartment / Condo)"
"Trailer Park",2,"Residence","Trailer Park","Trailer Park","Trailer Park"
"Shop & Service",1,"Shop & Service","Shop & Service","Shop & Service","Shop & Service"
"ATM",2,"Shop & Service","ATM","ATM","ATM"
"Adult Boutique",2,"Shop & Service","Adult Boutique","Adult Boutique","Adult Boutique"
"Antique Shop",2,"Shop & Service","Antique Shop","Antique Shop","Antique Shop"
"Arts & Crafts Store",2,"Shop & Service","Arts & Crafts Store","Arts & Crafts Store","Arts & Crafts Store"
"Astrologer",2,"Shop & Service","Astrologer","Astrologer","Astrologer"
"Auto Dealership",2,"Shop & Service","Auto Dealership","Auto Dealership","Auto Dealership"
"New Auto Dealership",3,"Shop & Service","Auto Dealership","New Auto Dealership","New Auto Dealership"
"Used Auto Dealership",3,"Shop & Service","Auto Dealership","Used Auto Dealership","Used Auto Dealership"
"Auto Garage",2,"Shop & Service","Auto Garage","Auto Garage","Auto Garage"
"Auto Workshop",2,"Shop & Service","Auto Workshop","Auto Workshop","Auto Workshop"
"Automotive Shop",2,"Shop & Service","Automotive Shop","Automotive Shop","Automotive Shop"
"Baby Store",2,"Shop & Service","Baby Store","Baby Store","Baby Store"
"Bank",2,"Shop & Service","Bank","Bank","Bank"
"Bath House",2,"Shop & Service","Bath House","Bath House","Bath House"
"Batik Shop",2,"Shop & Service","Batik Shop","Batik Shop","Batik Shop"
"Betting Shop",2,"Shop & Service","Betting Shop","Betting Shop","Betting Shop"
"Big Box Store",2,"Shop & Service","Big Box Store","Big Box Store","Big Box Store"
"Bike Shop",2,"Shop & Service","Bike Shop","Bike Shop","Bike Shop"
"Board Shop",2,"Shop & Service","Board Shop","Board Shop","Board Shop"
"Bookstore",2,"Shop & Service","Bookstore","Bookstore","Bookstore"
"Bridal Shop",2,"Shop & Service","Bridal Shop","Bridal Shop","Bridal Shop"
"Business Service",2,"Shop & Service","Business Service","Business Service","Business Service"
"Camera Store",2,"Shop & Service","Camera Store","Camera Store","Camera Store"
"Candy Store",2,"Shop & Service","Candy Store","Candy Store","Candy Store"
"Car Wash",2,"Shop & Service","Car Wash","Car Wash","Car Wash"
"Carpet Store",2,"Shop & Service","Carpet Store","Carpet Store","Carpet Store"
"Check Cashing Service",2,"Shop & Service","Check Cashing Service","Check Cashing Service","Check Cashing Service"
"Child Care Service",2,"Shop & Service","Child Care Service","Child Care Service","Child Care Service"
"Daycare",3,"Shop & Service","Child Care Service","Daycare","Daycare"
"Chocolate Shop",2,"Shop & Service","Chocolate Shop","Chocolate Shop","Chocolate Shop"
"Clothing Store",2,"Shop & Service","Clothing Store","Clothing Store","Clothing Store"
"Accessories Store",3,"Shop & Service","Clothing Store","Accessories Store","Accessories Store"
"Boutique",3,"Shop & Service","Clothing Store","Boutique","Boutique"
"Kids Store",3,"Shop & Service","Clothing Store","Kids Store","Kids Store"
"Lingerie Store",3,"Shop & Service","Clothing Store","Lingerie Store","Lingerie Store"
"Men's Store",3,"Shop & Service","Clothing Store","Men's Store","Men's Store"
"Shoe Store",3,"Shop & Service","Clothing Store","Shoe Store","Shoe Store"
"Women's Store",3,"Shop & Service","Clothing Store","Women's Store","Women's Store"
"Comic Shop",2,"Shop & Service","Comic Shop","Comic Shop","Comic Shop"
"Construction & Landscaping",2,"Shop & Service","Construction & Landscaping","Construction & Landscaping","Construction & Landscaping"
"Convenience Store",2,"Shop & Service","Convenience Store","Convenience Store","Convenience Store"
"Cosmetics Shop",2,"Shop & Service","Cosmetics Shop","Cosmetics Shop","Cosmetics Shop"
"Costume Shop",2,"Shop & Service","Costume Shop","Costume Shop","Costume Shop"
"Credit Union",2,"Shop & Service","Credit Union","Credit Union","Credit Union"
"Currency Exchange",2,"Shop & Service","Currency Exchange","Currency Exchange","Currency Exchange"
"Department Store",2,"Shop & Service","Department Store","Department Store","Department Store"
"Design Studio",2,"Shop & Service","Design Studio","Design Studio","Design Studio"
"Discount Store",2,"Shop & Service","Discount Store","Discount Store","Discount Store"
"Dive Shop",2,"Shop & Service","Dive Shop","Dive Shop","Dive Shop"
"Drugstore",2,"Shop & Service","Drugstore","Drugstore","Drugstore"
"Dry Cleaner",2,"Shop & Service","Dry Cleaner","Dry Cleaner","Dry Cleaner"
"EV Charging Station",2,"Shop & Service","EV Charging Station","EV Charging Station","EV Charging Station"
"Electronics Store",2,"Shop & Service","Electronics Store","Electronics Store","Electronics Store"
"Entertainment Service",2,"Shop & Service","Entertainment Service","Entertainment Service","Entertainment Service"
"Event Service",2,"Shop & Service","Event Service","Event Service","Event Service"
"Fabric Shop",2,"Shop & Service","Fabric Shop","Fabric Shop","Fabric Shop"
"Film Studio",2,"Shop & Service","Film Studio","Film Studio","Film Studio"
"Financial or Legal Service",2,"Shop & Service","Financial or Legal Service","Financial or Legal Service","Financial or Legal Service"
"Fireworks Store",2,"Shop & Service","Fireworks Store","Fireworks Store","Fireworks Store"
"Fishing Store",2,"Shop & Service","Fishing Store","Fishing Store","Fishing Store"
"Flea Market",2,"Shop & Service","Flea Market","Flea Market","Flea Market"
"Floating Market",2,"Shop & Service","Floating Market","Floating Market","Floating Market"
"Flower Shop",2,"Shop & Service","Flower Shop","Flower Shop","Flower Shop"
"Food & Drink Shop",2,"Shop & Service","Food & Drink Shop","Food & Drink Shop","Food & Drink Shop"
"Beer Store",3,"Shop & Service","Food & Drink Shop","Beer Store","Beer Store"
"Butcher",3,"Shop & Service","Food & Drink Shop","Butcher","Butcher"
"Cheese Shop",3,"Shop & Service","Food & Drink Shop","Cheese Shop","Cheese Shop"
"Coffee Roaster",3,"Shop & Service","Food & Drink Shop","Coffee Roaster","Coffee Roaster"
"Dairy Store",3,"Shop & Service","Food & Drink Shop","Dairy Store","Dairy Store"
"Farmers Market",3,"Shop & Service","Food & Drink Shop","Farmers Market","Farmers Market"
"Fish Market",3,"Shop & Service","Food & Drink Shop","Fish Market","Fish Market"
"Food Service",3,"Shop & Service","Food & Drink Shop","Food Service","Food Service"
"Gourmet Shop",3,"Shop & Service","Food & Drink Shop","Gourmet Shop","Gourmet Shop"
"Grocery Store",3,"Shop & Service","Food & Drink Shop","Grocery Store","Grocery Store"
"Health Food Store",3,"Shop & Service","Food & Drink Shop","Health Food Store","Health Food Store"
"Imported Food Shop",3,"Shop & Service","Food & Drink Shop","Imported Food Shop","Imported Food Shop"
"Kuruyemişçi",3,"Shop & Service","Food & Drink Shop","Kuruyemişçi","Kuruyemişçi"
"Liquor Store",3,"Shop & Service","Food & Drink Shop","Liquor Store","Liquor Store"
"Organic Grocery",3,"Shop & Service","Food & Drink Shop","Organic Grocery","Organic Grocery"
"Sausage Shop",3,"Shop & Service","Food & Drink Shop","Sausage Shop","Sausage Shop"
"Street Food Gathering",3,"Shop & Service","Food & Drink Shop","Street Food Gathering","Street Food Gathering"
"Supermarket",3,"Shop & Service","Food & Drink Shop","Supermarket","Supermarket"
"Turşucu",3,"Shop & Service","Food & Drink Shop","Turşucu","Turşucu"
"Wine Shop",3,"Shop & Service","Food & Drink Shop","Wine Shop","Wine Shop"
"Frame Store",2,"Shop & Service","Frame Store","Frame Store","Frame Store"
"Fruit & Vegetable Store",2,"Shop & Service","Fruit & Vegetable Store","Fruit & Vegetable Store","Fruit & Vegetable Store"
"Furniture / Home Store",2,"Shop & Service","Furniture / Home Store","Furniture / Home Store","Furniture / Home Store"
"Lighting Store",3,"Shop & Service","Furniture / Home Store","Lighting Store","Lighting Store"
"Gaming Cafe",2,"Shop & Service","Gaming Cafe","Gaming Cafe","Gaming Cafe"
"Garden Center",2,"Shop & Service","Garden Center","Garden Center","Garden Center"
"Gas Station",2,"Shop & Service","Gas Station","Gas Station","Gas Station"
"Gift Shop",2,"Shop & Service","Gift Shop","Gift Shop","Gift Shop"
"Gun Shop",2,"Shop & Service","Gun Shop","Gun Shop","Gun Shop"
"Hardware Store",2,"Shop & Service","Hardware Store","Hardware Store","Hardware Store"
"Health & Beauty Service",2,"Shop & Service","Health & Beauty Service","Health & Beauty Service","Health & Beauty Service"
"Herbs & Spices Store",2,"Shop & Service","Herbs & Spices Store","Herbs & Spices Store","Herbs & Spices Store"
"Hobby Shop",2,"Shop & Service","Hobby Shop","Hobby Shop","Hobby Shop"
"Home Service",2,"Shop & Service","Home Service","Home Service","Home Service"
"Hunting Supply",2,"Shop & Service","Hunting Supply","Hunting Supply","Hunting Supply"
"IT Services",2,"Shop & Service","IT Services","IT Services","IT Services"
"Insurance Office",2,"Shop & Service","Insurance Office","Insurance Office","Insurance Office"
"Internet Cafe",2,"Shop & Service","Internet Cafe","Internet Cafe","Internet Cafe"
"Jewelry Store",2,"Shop & Service","Jewelry Store","Jewelry Store","Jewelry Store"
"Kitchen Supply Store",2,"Shop & Service","Kitchen Supply Store","Kitchen Supply Store","Kitchen Supply Store"
"Knitting Store",2,"Shop & Service","Knitting Store","Knitting Store","Knitting Store"
"Laundromat",2,"Shop & Service","Laundromat","Laundromat","Laundromat"
"Laundry Service",2,"Shop & Service","Laundry Service","Laundry Service","Laundry Service"
"Lawyer",2,"Shop & Service","Lawyer","Lawyer","Lawyer"
"Leather Goods Store",2,"Shop & Service","Leather Goods Store","Leather Goods Store","Leather Goods Store"
"Locksmith",2,"Shop & Service","Locksmith","Locksmith","Locksmith"
"Lottery Retailer",2,"Shop & Service","Lottery Retailer","Lottery Retailer","Lottery Retailer"
"Luggage Store",2,"Shop & Service","Luggage Store","Luggage Store","Luggage Store"
"Marijuana Dispensary",2,"Shop & Service","Marijuana Dispensary","Marijuana Dispensary","Marijuana Dispensary"
"Market",2,"Shop & Service","Market","Market","Market"
"Massage Studio",2,"Shop & Service","Massage Studio","Massage Studio","Massage Studio"
"Mattress Store",2,"Shop & Service","Mattress Store","Mattress Store","Mattress Store"
"Medical Supply Store",2,"Shop & Service","Medical Supply Store","Medical Supply Store","Medical Supply Store"
"Miscellaneous Shop",2,"Shop & Service","Miscellaneous Shop","Miscellaneous Shop","Miscellaneous Shop"
"Mobile Phone Shop",2,"Shop & Service","Mobile Phone Shop","Mobile Phone Shop","Mobile Phone Shop"
"Mobility Store",2,"Shop & Service","Mobility Store","Mobility Store","Mobility Store"
"Motorcycle Shop",2,"Shop & Service","Motorcycle Shop","Motorcycle Shop","Motorcycle Shop"
"Motorsports Shop",2,"Shop & Service","Motorsports Shop","Motorsports Shop","Motorsports Shop"
"Music Store",2,"Shop & Service","Music Store","Music Store","Music Store"
"Nail Salon",2,"Shop & Service","Nail Salon","Nail Salon","Nail Salon"
"Newsagent",2,"Shop & Service","Newsagent","Newsagent","Newsagent"
"Newsstand",2,"Shop & Service","Newsstand","Newsstand","Newsstand"
"Notary",2,"Shop & Service","Notary","Notary","Notary"
"Optical Shop",2,"Shop & Service","Optical Shop","Optical Shop","Optical Shop"
"Other Repair Shop",2,"Shop & Service","Other Repair Shop","Other Repair Shop","Other Repair Shop"
"Outdoor Supply Store",2,"Shop & Service","Outdoor Supply Store","Outdoor Supply Store","Outdoor Supply Store"
"Outlet Mall",2,"Shop & Service","Outlet Mall","Outlet Mall","Outlet Mall"
"Outlet Store",2,"Shop & Service","Outlet Store","Outlet Store","Outlet Store"
"Paper / Office Supplies Store",2,"Shop & Service","Paper / Office Supplies Store","Paper / Office Supplies Store","Paper / Office Supplies Store"
"Pawn Shop",2,"Shop & Service","Pawn Shop","Pawn Shop","Pawn Shop"
"Perfume Shop",2,"Shop & Service","Perfume Shop","Perfume Shop","Perfume Shop"
"Pet Service",2,"Shop & Service","Pet Service","Pet Service","Pet Service"
"Pet Store",2,"Shop & Service","Pet Store","Pet Store","Pet Store"
"Pharmacy",2,"Shop & Service","Pharmacy","Pharmacy","Pharmacy"
"Photography Lab",2,"Shop & Service","Photography Lab","Photography Lab","Photography Lab"
"Photography Studio",2,"Shop & Service","Photography Studio","Photography Studio","Photography Studio"
"Piercing Parlor",2,"Shop & Service","Piercing Parlor","Piercing Parlor","Piercing Parlor"
"Pop-Up Shop",2,"Shop & Service","Pop-Up Shop","Pop-Up Shop","Pop-Up Shop"
"Print Shop",2,"Shop & Service","Print Shop","Print Shop","Print Shop"
"Public Bathroom",2,"Shop & Service","Public Bathroom","Public Bathroom","Public Bathroom"
"Real Estate Office",2,"Shop & Service","Real Estate Office","Real Estate Office","Real Estate Office"
"Record Shop",2,"Shop & Service","Record Shop","Record Shop","Record Shop"
"Recording Studio",2,"Shop & Service","Recording Studio","Recording Studio","Recording Studio"
"Recycling Facility",2,"Shop & Service","Recycling Facility","Recycling Facility","Recycling Facility"
"Rental Service",2,"Shop & Service","Rental Service","Rental Service","Rental Service"
"Salon / Barbershop",2,"Shop & Service","Salon / Barbershop","Salon / Barbershop","Salon / Barbershop"
"Sauna / Steam Room",2,"Shop & Service","Sauna / Steam Room","Sauna / Steam Room","Sauna / Steam Room"
"Shipping Store",2,"Shop & Service","Shipping Store","Shipping Store","Shipping Store"
"Shoe Repair",2,"Shop & Service","Shoe Repair","Shoe Repair","Shoe Repair"
"Shopping Mall",2,"Shop & Service","Shopping Mall","Shopping Mall","Shopping Mall"
"Shopping Plaza",2,"Shop & Service","Shopping Plaza","Shopping Plaza","Shopping Plaza"
"Skate Shop",2,"Shop & Service","Skate Shop","Skate Shop","Skate Shop"
"Ski Shop",2,"Shop & Service","Ski Shop","Ski Shop","Ski Shop"
"Smoke Shop",2,"Shop & Service","Smoke Shop","Smoke Shop","Smoke Shop"
"Smoothie Shop",2,"Shop & Service","Smoothie Shop","Smoothie Shop","Smoothie Shop"
"Souvenir Shop",2,"Shop & Service","Souvenir Shop","Souvenir Shop","Souvenir Shop"
"Spa",2,"Shop & Service","Spa","Spa","Spa"
"Sporting Goods Shop",2,"Shop & Service","Sporting Goods Shop","Sporting Goods Shop","Sporting Goods Shop"
"Stationery Store",2,"Shop & Service","Stationery Store","Stationery Store","Stationery Store"
"Storage Facility",2,"Shop & Service","Storage Facility","Storage Facility","Storage Facility"
"Supplement Shop",2,"Shop & Service","Supplement Shop","Supplement Shop","Supplement Shop"
"Tailor Shop",2,"Shop & Service","Tailor Shop","Tailor Shop","Tailor Shop"
"Tanning Salon",2,"Shop & Service","Tanning Salon","Tanning Salon","Tanning Salon"
"Tattoo Parlor",2,"Shop & Service","Tattoo Parlor","Tattoo Parlor","Tattoo Parlor"
"Thrift / Vintage Store",2,"Shop & Service","Thrift / Vintage Store","Thrift / Vintage Store","Thrift / Vintage Store"
"Toy / Game Store",2,"Shop & Service","Toy / Game Store","Toy / Game Store","Toy / Game Store"
"Travel Agency",2,"Shop & Service","Travel Agency","Travel Agency","Travel Agency"
"Used Bookstore",2,"Shop & Service","Used Bookstore","Used Bookstore","Used Bookstore"
"Vape Store",2,"Shop & Service","Vape Store","Vape Store","Vape Store"
"Vehicle Inspection Station",2,"Shop & Service","Vehicle Inspection Station","Vehicle Inspection Station","Vehicle Inspection Station"
"Video Game Store",2,"Shop & Service","Video Game Store","Video Game Store","Video Game Store"
"Video Store",2,"Shop & Service","Video Store","Video Store","Video Store"
"Warehouse Store",2,"Shop & Service","Warehouse Store","Warehouse Store","Warehouse Store"
"Watch Shop",2,"Shop & Service","Watch Shop","Watch Shop","Watch Shop"
"Travel & Transport",1,"Travel & Transport","Travel & Transport","Travel & Transport","Travel & Transport"
"Airport",2,"Travel & Transport","Airport","Airport","Airport"
"Airfield",3,"Travel & Transport","Airport","Airfield","Airfield"
"Airport Food Court",3,"Travel & Transport","Airport","Airport Food Court","Airport Food Court"
"Airport Gate",3,"Travel & Transport","Airport","Airport Gate","Airport Gate"
"Airport Lounge",3,"Travel & Transport","Airport","Airport Lounge","Airport Lounge"
"Airport Service",3,"Travel & Transport","Airport","Airport Service","Airport Service"
"Airport Terminal",3,"Travel & Transport","Airport","Airport Terminal","Airport Terminal"
"Airport Ticket Counter",3,"Travel & Transport","Airport","Airport Ticket Counter","Airport Ticket Counter"
"Airport Tram",3,"Travel & Transport","Airport","Airport Tram","Airport Tram"
"Baggage Claim",3,"Travel & Transport","Airport","Baggage Claim","Baggage Claim"
"Plane",3,"Travel & Transport","Airport","Plane","Plane"
"Baggage Locker",2,"Travel & Transport","Baggage Locker","Baggage Locker","Baggage Locker"
"Bike Rental / Bike Share",2,"Travel & Transport","Bike Rental / Bike Share","Bike Rental / Bike Share","Bike Rental / Bike Share"
"Boat Rental",2,"Travel & Transport","Boat Rental","Boat Rental","Boat Rental"
"Boat or Ferry",2,"Travel & Transport","Boat or Ferry","Boat or Ferry","Boat or Ferry"
"Border Crossing",2,"Travel & Transport","Border Crossing","Border Crossing","Border Crossing"
"Bus Station",2,"Travel & Transport","Bus Station","Bus Station","Bus Station"
"Bus Line",3,"Travel & Transport","Bus Station","Bus Line","Bus Line"
"Bus Stop",2,"Travel & Transport","Bus Stop","Bus Stop","Bus Stop"
"Cable Car",2,"Travel & Transport","Cable Car","Cable Car","Cable Car"
"Cruise Ship",2,"Travel & Transport","Cruise Ship","Cruise Ship","Cruise Ship"
"Duty-free Shop",2,"Travel & Transport","Duty-free Shop","Duty-free Shop","Duty-free Shop"
"General Travel",2,"Travel & Transport","General Travel","General Travel","General Travel"
"Heliport",2,"Travel & Transport","Heliport","Heliport","Heliport"
"Hotel",2,"Travel & Transport","Hotel","Hotel","Hotel"
"Bed & Breakfast",3,"Travel & Transport","Hotel","Bed & Breakfast","Bed & Breakfast"
"Boarding House",3,"Travel & Transport","Hotel","Boarding House","Boarding House"
"Hostel",3,"Travel & Transport","Hotel","Hostel","Hostel"
"Hotel Pool",3,"Travel & Transport","Hotel","Hotel Pool","Hotel Pool"
"Inn",3,"Travel & Transport","Hotel","Inn","Inn"
"Motel",3,"Travel & Transport","Hotel","Motel","Motel"
"Resort",3,"Travel & Transport","Hotel","Resort","Resort"
"Vacation Rental",3,"Travel & Transport","Hotel","Vacation Rental","Vacation Rental"
"Intersection",2,"Travel & Transport","Intersection","Intersection","Intersection"
"Light Rail Station",2,"Travel & Transport","Light Rail Station","Light Rail Station","Light Rail Station"
"Marine Terminal",2,"Travel & Transport","Marine Terminal","Marine Terminal","Marine Terminal"
"Metro Station",2,"Travel & Transport","Metro Station","Metro Station","Metro Station"
"Moving Target",2,"Travel & Transport","Moving Target","Moving Target","Moving Target"
"Pier",2,"Travel & Transport","Pier","Pier","Pier"
"Port",2,"Travel & Transport","Port","Port","Port"
"RV Park",2,"Travel & Transport","RV Park","RV Park","RV Park"
"Rental Car Location",2,"Travel & Transport","Rental Car Location","Rental Car Location","Rental Car Location"
"Rest Area",2,"Travel & Transport","Rest Area","Rest Area","Rest Area"
"Road",2,"Travel & Transport","Road","Road","Road"
"Taxi Stand",2,"Travel & Transport","Taxi Stand","Taxi Stand","Taxi Stand"
"Taxi",2,"Travel & Transport","Taxi","Taxi","Taxi"
"Toll Booth",2,"Travel & Transport","Toll Booth","Toll Booth","Toll Booth"
"Toll Plaza",2,"Travel & Transport","Toll Plaza","Toll Plaza","Toll Plaza"
"Tourist Information Center",2,"Travel & Transport","Tourist Information Center","Tourist Information Center","Tourist Information Center"
"Train Station",2,"Travel & Transport","Train Station","Train Station","Train Station"
"Platform",3,"Travel & Transport","Train Station","Platform","Platform"
"Train",3,"Travel & Transport","Train Station","Train","Train"
"Tram Station",2,"Travel & Transport","Tram Station","Tram Station","Tram Station"
"Transportation Service",2,"Travel & Transport","Transportation Service","Transportation Service","Transportation Service"
"Travel Lounge",2,"Travel & Transport","Travel Lounge","Travel Lounge","Travel Lounge"
"Truck Stop",2,"Travel & Transport","Truck Stop","Truck Stop","Truck Stop"
"Tunnel",2,"Travel & Transport","Tunnel","Tunnel","Tunnel"
