"name","lev","p1","p2","p3","p4"
"Padangnese Restaurant",4,"Food","Asian Restaurant","Indonesian Restaurant","Padangnese Restaurant"
"Sundanese Restaurant",4,"Food","Asian Restaurant","Indonesian Restaurant","Sundanese Restaurant"
"Japanese Restaurant",3,"Food","Asian Restaurant","Japanese Restaurant","Japanese Restaurant"
"Donburi Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Donburi Restaurant"
"Japanese Curry Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Japanese Curry Restaurant"
"Japanese Family Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Japanese Family Restaurant"
"Kaiseki Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Kaiseki Restaurant"
"Kushikatsu Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Kushikatsu Restaurant"
"Monjayaki Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Monjayaki Restaurant"
"Nabe Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Nabe Restaurant"
"Okonomiyaki Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Okonomiyaki Restaurant"
"Ramen Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Ramen Restaurant"
"Shabu-Shabu Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Shabu-Shabu Restaurant"
"Soba Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Soba Restaurant"
"Sukiyaki Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Sukiyaki Restaurant"
"Sushi Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Sushi Restaurant"
"Takoyaki Place",4,"Food","Asian Restaurant","Japanese Restaurant","Takoyaki Place"
"Teishoku Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Teishoku Restaurant"
"Tempura Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Tempura Restaurant"
"Tonkatsu Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Tonkatsu Restaurant"
"Udon Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Udon Restaurant"
"Unagi Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Unagi Restaurant"
"Wagashi Place",4,"Food","Asian Restaurant","Japanese Restaurant","Wagashi Place"
"Yakitori Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Yakitori Restaurant"
"Yoshoku Restaurant",4,"Food","Asian Restaurant","Japanese Restaurant","Yoshoku Restaurant"
"Korean Restaurant",3,"Food","Asian Restaurant","Korean Restaurant","Korean Restaurant"
"Bossam/Jokbal Restaurant",4,"Food","Asian Restaurant","Korean Restaurant","Bossam/Jokbal Restaurant"
"Bunsik Restaurant",4,"Food","Asian Restaurant","Korean Restaurant","Bunsik Restaurant"
"Gukbap Restaurant",4,"Food","Asian Restaurant","Korean Restaurant","Gukbap Restaurant"
"Janguh Restaurant",4,"Food","Asian Restaurant","Korean Restaurant","Janguh Restaurant"
"Korean BBQ Restaurant",4,"Food","Asian Restaurant","Korean Restaurant","Korean BBQ Restaurant"
"Samgyetang Restaurant",4,"Food","Asian Restaurant","Korean Restaurant","Samgyetang Restaurant"
"Malay Restaurant",3,"Food","Asian Restaurant","Malay Restaurant","Malay Restaurant"
"Mamak Restaurant",4,"Food","Asian Restaurant","Malay Restaurant","Mamak Restaurant"
"Mongolian Restaurant",3,"Food","Asian Restaurant","Mongolian Restaurant","Mongolian Restaurant"
"Noodle House",3,"Food","Asian Restaurant","Noodle House","Noodle House"
"Satay Restaurant",3,"Food","Asian Restaurant","Satay Restaurant","Satay Restaurant"
"Singaporean Restaurant",3,"Food","Asian Restaurant","Singaporean Restaurant","Singaporean Restaurant"
"Thai Restaurant",3,"Food","Asian Restaurant","Thai Restaurant","Thai Restaurant"
"Som Tum Restaurant",4,"Food","Asian Restaurant","Thai Restaurant","Som Tum Restaurant"
"Tibetan Restaurant",3,"Food","Asian Restaurant","Tibetan Restaurant","Tibetan Restaurant"
"Vietnamese Restaurant",3,"Food","Asian Restaurant","Vietnamese Restaurant","Vietnamese Restaurant"
"Australian Restaurant",2,"Food","Australian Restaurant","Australian Restaurant","Australian Restaurant"
"Austrian Restaurant",2,"Food","Austrian Restaurant","Austrian Restaurant","Austrian Restaurant"
"BBQ Joint",2,"Food","BBQ Joint","BBQ Joint","BBQ Joint"
"Bagel Shop",2,"Food","Bagel Shop","Bagel Shop","Bagel Shop"
"Bakery",2,"Food","Bakery","Bakery","Bakery"
"Bangladeshi Restaurant",2,"Food","Bangladeshi Restaurant","Bangladeshi Restaurant","Bangladeshi Restaurant"
"Belgian Restaurant",2,"Food","Belgian Restaurant","Belgian Restaurant","Belgian Restaurant"
"Bistro",2,"Food","Bistro","Bistro","Bistro"
"Breakfast Spot",2,"Food","Breakfast Spot","Breakfast Spot","Breakfast Spot"
"Bubble Tea Shop",2,"Food","Bubble Tea Shop","Bubble Tea Shop","Bubble Tea Shop"
"Buffet",2,"Food","Buffet","Buffet","Buffet"
"Burger Joint",2,"Food","Burger Joint","Burger Joint","Burger Joint"
"Cafeteria",2,"Food","Cafeteria","Cafeteria","Cafeteria"
"Café",2,"Food","Café","Café","Café"
"Cajun / Creole Restaurant",2,"Food","Cajun / Creole Restaurant","Cajun / Creole Restaurant","Cajun / Creole Restaurant"
"Caribbean Restaurant",2,"Food","Caribbean Restaurant","Caribbean Restaurant","Caribbean Restaurant"
"Cuban Restaurant",3,"Food","Caribbean Restaurant","Cuban Restaurant","Cuban Restaurant"
"Puerto Rican Restaurant",3,"Food","Caribbean Restaurant","Puerto Rican Restaurant","Puerto Rican Restaurant"
"Caucasian Restaurant",2,"Food","Caucasian Restaurant","Caucasian Restaurant","Caucasian Restaurant"
"Coffee Shop",2,"Food","Coffee Shop","Coffee Shop","Coffee Shop"
"Comfort Food Restaurant",2,"Food","Comfort Food Restaurant","Comfort Food Restaurant","Comfort Food Restaurant"
"Creperie",2,"Food","Creperie","Creperie","Creperie"
"Czech Restaurant",2,"Food","Czech Restaurant","Czech Restaurant","Czech Restaurant"
"Deli / Bodega",2,"Food","Deli / Bodega","Deli / Bodega","Deli / Bodega"
"Dessert Shop",2,"Food","Dessert Shop","Dessert Shop","Dessert Shop"
"Cupcake Shop",3,"Food","Dessert Shop","Cupcake Shop","Cupcake Shop"
"Frozen Yogurt Shop",3,"Food","Dessert Shop","Frozen Yogurt Shop","Frozen Yogurt Shop"
"Gelato Shop",3,"Food","Dessert Shop","Gelato Shop","Gelato Shop"
"Ice Cream Shop",3,"Food","Dessert Shop","Ice Cream Shop","Ice Cream Shop"
"Pastry Shop",3,"Food","Dessert Shop","Pastry Shop","Pastry Shop"
"Pie Shop",3,"Food","Dessert Shop","Pie Shop","Pie Shop"
"Diner",2,"Food","Diner","Diner","Diner"
"Donut Shop",2,"Food","Donut Shop","Donut Shop","Donut Shop"
"Dumpling Restaurant",2,"Food","Dumpling Restaurant","Dumpling Restaurant","Dumpling Restaurant"
"Dutch Restaurant",2,"Food","Dutch Restaurant","Dutch Restaurant","Dutch Restaurant"
"Eastern European Restaurant",2,"Food","Eastern European Restaurant","Eastern European Restaurant","Eastern European Restaurant"
"Belarusian Restaurant",3,"Food","Eastern European Restaurant","Belarusian Restaurant","Belarusian Restaurant"
"Bosnian Restaurant",3,"Food","Eastern European Restaurant","Bosnian Restaurant","Bosnian Restaurant"
"Bulgarian Restaurant",3,"Food","Eastern European Restaurant","Bulgarian Restaurant","Bulgarian Restaurant"
"Romanian Restaurant",3,"Food","Eastern European Restaurant","Romanian Restaurant","Romanian Restaurant"
"Tatar Restaurant",3,"Food","Eastern European Restaurant","Tatar Restaurant","Tatar Restaurant"
"English Restaurant",2,"Food","English Restaurant","English Restaurant","English Restaurant"
"Falafel Restaurant",2,"Food","Falafel Restaurant","Falafel Restaurant","Falafel Restaurant"
"Fast Food Restaurant",2,"Food","Fast Food Restaurant","Fast Food Restaurant","Fast Food Restaurant"
"Fish & Chips Shop",2,"Food","Fish & Chips Shop","Fish & Chips Shop","Fish & Chips Shop"
"Fondue Restaurant",2,"Food","Fondue Restaurant","Fondue Restaurant","Fondue Restaurant"
"Food Court",2,"Food","Food Court","Food Court","Food Court"
"Food Stand",2,"Food","Food Stand","Food Stand","Food Stand"
"Food Truck",2,"Food","Food Truck","Food Truck","Food Truck"
"French Restaurant",2,"Food","French Restaurant","French Restaurant","French Restaurant"
"Alsatian Restaurant",3,"Food","French Restaurant","Alsatian Restaurant","Alsatian Restaurant"
"Auvergne Restaurant",3,"Food","French Restaurant","Auvergne Restaurant","Auvergne Restaurant"
"Basque Restaurant",3,"Food","French Restaurant","Basque Restaurant","Basque Restaurant"
"Brasserie",3,"Food","French Restaurant","Brasserie","Brasserie"
"Breton Restaurant",3,"Food","French Restaurant","Breton Restaurant","Breton Restaurant"
"Burgundian Restaurant",3,"Food","French Restaurant","Burgundian Restaurant","Burgundian Restaurant"
"Catalan Restaurant",3,"Food","French Restaurant","Catalan Restaurant","Catalan Restaurant"
"Ch'ti Restaurant",3,"Food","French Restaurant","Ch'ti Restaurant","Ch'ti Restaurant"
"Corsican Restaurant",3,"Food","French Restaurant","Corsican Restaurant","Corsican Restaurant"
"Estaminet",3,"Food","French Restaurant","Estaminet","Estaminet"
"Labour Canteen",3,"Food","French Restaurant","Labour Canteen","Labour Canteen"
"Lyonese Bouchon",3,"Food","French Restaurant","Lyonese Bouchon","Lyonese Bouchon"
"Norman Restaurant",3,"Food","French Restaurant","Norman Restaurant","Norman Restaurant"
"Provençal Restaurant",3,"Food","French Restaurant","Provençal Restaurant","Provençal Restaurant"
"Savoyard Restaurant",3,"Food","French Restaurant","Savoyard Restaurant","Savoyard Restaurant"
"Southwestern French Restaurant",3,"Food","French Restaurant","Southwestern French Restaurant","Southwestern French Restaurant"
"Fried Chicken Joint",2,"Food","Fried Chicken Joint","Fried Chicken Joint","Fried Chicken Joint"
"Friterie",2,"Food","Friterie","Friterie","Friterie"
"Gastropub",2,"Food","Gastropub","Gastropub","Gastropub"
"German Restaurant",2,"Food","German Restaurant","German Restaurant","German Restaurant"
"Apple Wine Pub",3,"Food","German Restaurant","Apple Wine Pub","Apple Wine Pub"
"Bavarian Restaurant",3,"Food","German Restaurant","Bavarian Restaurant","Bavarian Restaurant"
"Bratwurst Joint",3,"Food","German Restaurant","Bratwurst Joint","Bratwurst Joint"
"Currywurst Joint",3,"Food","German Restaurant","Currywurst Joint","Currywurst Joint"
"Franconian Restaurant",3,"Food","German Restaurant","Franconian Restaurant","Franconian Restaurant"
"German Pop-Up Restaurant",3,"Food","German Restaurant","German Pop-Up Restaurant","German Pop-Up Restaurant"
"Palatine Restaurant",3,"Food","German Restaurant","Palatine Restaurant","Palatine Restaurant"
"Rhenisch Restaurant",3,"Food","German Restaurant","Rhenisch Restaurant","Rhenisch Restaurant"
"Schnitzel Restaurant",3,"Food","German Restaurant","Schnitzel Restaurant","Schnitzel Restaurant"
"Silesian Restaurant",3,"Food","German Restaurant","Silesian Restaurant","Silesian Restaurant"
"Swabian Restaurant",3,"Food","German Restaurant","Swabian Restaurant","Swabian Restaurant"
"Gluten-free Restaurant",2,"Food","Gluten-free Restaurant","Gluten-free Restaurant","Gluten-free Restaurant"
"Greek Restaurant",2,"Food","Greek Restaurant","Greek Restaurant","Greek Restaurant"
"Bougatsa Shop",3,"Food","Greek Restaurant","Bougatsa Shop","Bougatsa Shop"
"Cretan Restaurant",3,"Food","Greek Restaurant","Cretan Restaurant","Cretan Restaurant"
"Fish Taverna",3,"Food","Greek Restaurant","Fish Taverna","Fish Taverna"
"Grilled Meat Restaurant",3,"Food","Greek Restaurant","Grilled Meat Restaurant","Grilled Meat Restaurant"
"Kafenio",3,"Food","Greek Restaurant","Kafenio","Kafenio"
"Magirio",3,"Food","Greek Restaurant","Magirio","Magirio"
"Meze Restaurant",3,"Food","Greek Restaurant","Meze Restaurant","Meze Restaurant"
"Modern Greek Restaurant",3,"Food","Greek Restaurant","Modern Greek Restaurant","Modern Greek Restaurant"
"Ouzeri",3,"Food","Greek Restaurant","Ouzeri","Ouzeri"
"Patsa Restaurant",3,"Food","Greek Restaurant","Patsa Restaurant","Patsa Restaurant"
"Souvlaki Shop",3,"Food","Greek Restaurant","Souvlaki Shop","Souvlaki Shop"
"Taverna",3,"Food","Greek Restaurant","Taverna","Taverna"
"Tsipouro Restaurant",3,"Food","Greek Restaurant","Tsipouro Restaurant","Tsipouro Restaurant"
"Halal Restaurant",2,"Food","Halal Restaurant","Halal Restaurant","Halal Restaurant"
"Hawaiian Restaurant",2,"Food","Hawaiian Restaurant","Hawaiian Restaurant","Hawaiian Restaurant"
"Poke Place",3,"Food","Hawaiian Restaurant","Poke Place","Poke Place"
"Hot Dog Joint",2,"Food","Hot Dog Joint","Hot Dog Joint","Hot Dog Joint"
"Hungarian Restaurant",2,"Food","Hungarian Restaurant","Hungarian Restaurant","Hungarian Restaurant"
"Indian Restaurant",2,"Food","Indian Restaurant","Indian Restaurant","Indian Restaurant"
"Andhra Restaurant",3,"Food","Indian Restaurant","Andhra Restaurant","Andhra Restaurant"
"Awadhi Restaurant",3,"Food","Indian Restaurant","Awadhi Restaurant","Awadhi Restaurant"
"Bengali Restaurant",3,"Food","Indian Restaurant","Bengali Restaurant","Bengali Restaurant"
"Chaat Place",3,"Food","Indian Restaurant","Chaat Place","Chaat Place"
