"metro","lat","long","country","capital","population","state"
"Puerto Ayacucho",5.6631,-67.6264,"Venezuela","admin",128499,""
"Andahuaylas",-13.6575,-73.3833,"Peru","",237700,""
"Tall ‘Afar",36.3792,42.4497,"Iraq","minor",316317,""
"San Carlos del Zulia",9,-71.95,"Venezuela","minor",188545,""
"Koktokay",47.0004,89.4666,"China","minor",55415,""
"Capenda Camulemba",-9.4233,18.4328,"Angola","",29338,""
"Constanza",18.91,-70.75,"Dominican Republic","",90774,""
"Capo d’Orlando",38.15,14.7333,"Italy","",165300,""
"Sokcho",38.2083,128.5911,"South Korea","minor",109435,""
"Oulad Said",32.632,-8.8456,"Morocco","",117862,""
"Idah",7.0833,6.75,"Nigeria","minor",1158011,""
"Ijevan",40.8792,45.1472,"Armenia","admin",380467,""
"Siocon",7.7,122.1333,"Philippines","",93998,""
"Kahramanmaraş",37.5875,36.9453,"Turkey","admin",731444,""
"Jinhe",22.7815,103.228,"China","minor",541887,""
"Buckeye",33.4314,-112.6429,"United States","",44427,"AZ"
"Santiago",-29.1919,-54.8669,"Brazil","",82725,""
"Ubaíra",-13.2678,-39.6628,"Brazil","",126142,""
"Longview",46.1461,-122.9629,"United States","",138351,"WA"
"Diamantino",-14.4089,-56.4458,"Brazil","",66409,""
"Yalta",44.4994,34.1553,"Ukraine","",3784,""
"Lesosibirsk",58.2333,92.4833,"Russia","",105762,""
"Lisala",2.14,21.51,"Congo (Kinshasa)","admin",438929,""
"Ciudad Lázaro Cárdenas",17.9561,-102.1922,"Mexico","",222841,""
"Kadoma",-18.35,29.9167,"Zimbabwe","",348763,""
"Venkatagiri",13.9667,79.5833,"India","",784928,""
"Morristown",36.2046,-83.3006,"United States","",214957,"TN"
"Assaré",-6.8739,-39.875,"Brazil","",111485,""
"Urrao",6.3156,-76.1342,"Colombia","minor",110385,""
"Pula",44.8667,13.8333,"Croatia","minor",97330,""
"Amecameca de Juárez",19.1238,-98.7665,"Mexico","minor",111204,""
"Subulussalam",2.6422,98.0042,"Indonesia","",534823,""
"Tambacounda",13.7689,-13.6672,"Senegal","admin",357406,""
"Fredericton",45.9636,-66.6431,"Canada","admin",134699,""
"Kalyandrug",14.55,77.1,"India","",729740,""
"Alīgūdarz",33.4006,49.6947,"Iran","minor",135877,""
"Arlit",18.7333,7.3833,"Niger","minor",119208,""
"Inverness",57.4778,-4.2247,"United Kingdom","",188741,""
"Camacan",-15.4189,-39.4958,"Brazil","",74989,""
"Tela",15.7833,-87.4667,"Honduras","",132200,""
"Uttaradit",17.6256,100.0942,"Thailand","admin",602092,""
"Chitembo",-13.5167,16.7667,"Angola","",40920,""
"Wa",10.0667,-2.5,"Ghana","admin",335306,""
"Bundaberg",-24.8661,152.3494,"Australia","",95500,""
"Orangeville",43.9167,-80.1167,"Canada","",78640,""
"Balqash",46.85,75,"Kazakhstan","",60978,""
"Tefé",-3.3539,-64.7108,"Brazil","",71583,""
"Grand Island",40.9214,-98.3584,"United States","",98995,"NE"
"Alicia",7.506,122.9412,"Philippines","",122332,""
"Roslavl",53.9492,32.8569,"Russia","",145902,""
"Ciudad Manuel Doblado",20.7303,-101.9533,"Mexico","minor",140640,""
"Farmington",37.7821,-90.4288,"United States","",188327,"MO"
"Caloundra",-26.7986,153.1289,"Australia","",342746,""
"Ārba Minch’",6.04,37.55,"Ethiopia","",1827656,""
"Sovetsk",55.0833,21.8833,"Russia","minor",183643,""
"Numan",9.4536,11.8367,"Nigeria","minor",761142,""
"Gävle",60.6748,17.1444,"Sweden","admin",172632,""
"Mamou",10.3833,-12.0833,"Guinea","admin",367068,""
"Catacamas",14.8,-85.9,"Honduras","",341910,""
"Buguruslan",53.6167,52.4167,"Russia","",149641,""
"Río Tercero",-32.1768,-64.113,"Argentina","",147917,""
"Liuliang",35.2695,105.986,"China","",1517623,""
"Caxito",-8.5785,13.6642,"Angola","admin",67927,""
"Kayes",14.45,-11.4167,"Mali","admin",459650,""
"Ende",-8.8333,121.65,"Indonesia","minor",282528,""
"Ankara",39.93,32.85,"Turkey","primary",5865487,""
"Ciudad de Huajuapam de León",17.8097,-97.7764,"Mexico","minor",254845,""
"Comrat",46.3003,28.6572,"Moldova","admin",253698,""
"Laranjeiras do Sul",-25.4078,-52.4158,"Brazil","",106025,""
"Sarqan",45.4203,79.9149,"Kazakhstan","",47332,""
"Berbérati",4.2667,15.7833,"Central African Republic","admin",141834,""
"Karūr",10.9504,78.0833,"India","",872502,""
"Tocoa",15.6833,-86,"Honduras","",366872,""
"Soledade",-28.8178,-52.51,"Brazil","",116271,""
"Surt",31.2,16.6,"Libya","admin",127046,""
"Pyapon",16.2853,95.6786,"Myanmar","",1547656,""
"E’erguna",50.2411,120.172,"China","minor",53111,""
"Oulmes",33.4167,-6.0167,"Morocco","",178000,""
"Karaman",37.1833,33.2167,"Turkey","admin",231531,""
"Abéché",13.8331,20.8347,"Chad","admin",244628,""
"Venado Tuerto",-33.75,-61.9667,"Argentina","",151458,""
"Chake Chake",-5.2395,39.77,"Tanzania","admin",337572,""
"Bandar-e Genāveh",29.5833,50.5167,"Iran","minor",164437,""
"Zamora",41.5033,-5.7556,"Spain","minor",107135,""
"Roanne",46.0367,4.0689,"France","minor",247905,""
"Tuban",-6.8995,112.05,"Indonesia","minor",2457276,""
"Iskitim",54.6333,83.3,"Russia","",128067,""
"Bastia",42.7008,9.4503,"France","",150073,""
"Napier",-39.4833,176.9167,"New Zealand","admin",151330,""
"Basavakalyān",17.87,76.95,"India","",768599,""
"Phayao",19.1652,99.9036,"Thailand","admin",395045,""
"Ko Samui",9.5157,99.9436,"Thailand","minor",76775,""
"Tamanrasset",22.785,5.5228,"Algeria","admin",119769,""
"Tailai",46.3909,123.4161,"China","minor",460577,""
"San Pedro",-33.6794,-59.6669,"Argentina","minor",92884,""
"Paducah",37.0711,-88.6436,"United States","",178406,"KY"
"Longquan",28.0733,119.1277,"China","",545646,""
"Borlänge",60.4833,15.4167,"Sweden","minor",191683,""
"Kengtung",21.2914,99.6039,"Myanmar","",212444,""
"Chaiyaphum",15.8056,102.0311,"Thailand","admin",691974,""
"Campbell River",50.0244,-125.2475,"Canada","",105004,""
"Den Helder",52.9583,4.7589,"Netherlands","minor",89528,""
"Cândido Sales",-15.505,-41.2389,"Brazil","",78660,""
"São Gonçalo do Amarante",-3.6058,-38.9689,"Brazil","",95561,""
"Naini Tal",29.3919,79.4542,"India","",2608878,""
"Awlouz",30.7,-8.15,"Morocco","",171741,""
"Casilda",-33.0442,-61.1681,"Argentina","minor",108167,""
"Ioánnina",39.6636,20.8522,"Greece","admin",193783,""
"Chernyakhovsk",54.6333,21.8167,"Russia","minor",82887,""
"Frankfurt (Oder)",52.3419,14.5517,"Germany","minor",186549,""
"Tissemsilt",35.6072,1.8106,"Algeria","admin",293043,""
"Pithorāgarh",29.58,80.22,"India","",1048823,""
"Godē",5.95,43.45,"Ethiopia","",296459,""
"Gus’-Khrustal’nyy",55.6167,40.65,"Russia","",127157,""
"Rotorua",-38.1378,176.2514,"New Zealand","",67332,""
"Camabatela",-8.1833,15.3667,"Angola","",67118,""
"Salekhard",66.5333,66.6333,"Russia","admin",76950,""
"Vyatskiye Polyany",56.2184,51.0686,"Russia","",200546,""
"Colinas",-6.0258,-44.2489,"Brazil","",104320,""
"Manokwari",-0.8711,134.0693,"Indonesia","admin",287156,""
"Shancheng",34.7904,116.08,"China","",2467307,""
"Assab",13.0078,42.7411,"Eritrea","admin",44742,""
"Santa Elena",-2.2267,-80.8583,"Ecuador","admin",397372,""
"Walla Walla",46.067,-118.3366,"United States","",73792,"WA"
"Lyudinovo",53.8667,34.4667,"Russia","",121217,""
"Karlstad",59.3808,13.5016,"Sweden","admin",186592,""
"Kara-Balta",42.8306,73.8857,"Kyrgyzstan","minor",132643,""
"Zhongbai",26.7723,107.8883,"China","",868696,""
"Damān",20.4169,72.834,"India","admin",3342070,""
"Standerton",-26.95,29.25,"South Africa","",108864,""
"Riberalta",-10.983,-66.1,"Bolivia","",112327,""
"Prince George",53.9169,-122.7494,"Canada","",86173,""
"Haugesund",59.4102,5.2755,"Norway","minor",115651,""
"Roseburg",43.2232,-123.3518,"United States","",98574,"OR"
"Hobbs",32.7282,-103.16,"United States","",84734,"NM"
"Gerāsh",27.665,54.1369,"Iran","minor",158204,""
"Kanye",-24.9833,25.35,"Botswana","admin",215631,""
"Cookeville",36.1484,-85.5114,"United States","",235781,"TN"
"Valença do Piauí",-6.4078,-41.7458,"Brazil","",72882,""
"Farāh",32.3436,62.1194,"Afghanistan","admin",330550,""
"Birobidzhan",48.7833,132.9333,"Russia","admin",86591,""
"Bawku",11.06,-0.2422,"Ghana","",903096,""
"Mont-de-Marsan",43.89,-0.5,"France","minor",212215,""
"Shelby",35.2904,-81.5451,"United States","",215891,"NC"
"Surin",14.8864,103.4932,"Thailand","admin",981133,""
"Goianésia",-15.3169,-49.1169,"Brazil","",87358,""
"Zaraza",9.3394,-65.3167,"Venezuela","minor",91190,""
"Jose Abad Santos",5.9167,125.65,"Philippines","",111241,""
"Santo Antônio do Sudoeste",-26.07,-53.7228,"Brazil","",147063,""
"Mpanda",-6.3436,31.0694,"Tanzania","admin",288438,""
"Cuamba",-14.82,36.5486,"Mozambique","",402003,""
"Tan-Tan",28.4333,-11.1,"Morocco","",25547,""
"Tokār",18.4333,37.7333,"Sudan","",89169,""
"Fada Ngourma",12.05,0.3667,"Burkina Faso","admin",347939,""
"Franceville",-1.6333,13.5833,"Gabon","admin",445657,""
"Kuybyshev",55.4503,78.3075,"Russia","",99574,""
"Canguçu",-31.395,-52.6758,"Brazil","",71400,""
"Segovia",7.0781,-74.7017,"Colombia","minor",113235,""
"Moa",20.6556,-74.9417,"Cuba","minor",61667,""
"Liepāja",56.5083,21.0111,"Latvia","admin",114853,""
"Zanesville",39.9565,-82.0132,"United States","",255212,"OH"
"Nek’emtē",9.0905,36.53,"Ethiopia","",1387462,""
"Mikkeli",61.6875,27.2736,"Finland","admin",99314,""
"Cimitarra",6.3133,-73.95,"Colombia","minor",75262,""
"Chum Phae",16.5431,102.1104,"Thailand","minor",564662,""
"Ali Sabieh",11.1558,42.7125,"Djibouti","admin",203541,""
"Juan Rodríguez Clara",18,-95.4,"Mexico","minor",137558,""
"São Luís de Montes Belos",-16.525,-50.3719,"Brazil","",119113,""
"Concepción",-23.4025,-57.4414,"Paraguay","admin",28154,""
"Masvingo",-20.0744,30.8328,"Zimbabwe","admin",481819,""
"San Francisco",-31.4356,-62.0714,"Argentina","minor",111817,""
"Itaberaí",-16.02,-49.81,"Brazil","",51592,""
"Sipalay",9.75,122.4,"Philippines","",46089,""
"Jangaon",17.72,79.18,"India","",718228,""
"Tarauacá",-8.1608,-70.7658,"Brazil","",64659,""
"Yalutorovsk",56.65,66.3,"Russia","",117539,""
"Bardejov",49.295,21.2758,"Slovakia","minor",291717,""
"Montepuez",-13.1167,39,"Mozambique","",356416,""
"Abancay",-13.6333,-72.8833,"Peru","admin",82726,""
"Raseborg",59.975,23.4361,"Finland","minor",55525,""
"Esbjerg",55.467,8.45,"Denmark","minor",240045,""
"Autazes",-3.5864,-59.1197,"Brazil","",76260,""
"Aquidauana",-20.4708,-55.7869,"Brazil","",74781,""
"Casa Nova",-9.1619,-40.9708,"Brazil","",52214,""
"Tibati",6.4669,12.6158,"Cameroon","",112096,""
"Nizwá",22.9264,57.5314,"Oman","admin",390142,""
"Jeremoabo",-10.0669,-38.35,"Brazil","",40780,""
"Sagae",38.3811,140.2761,"Japan","",72670,""
"Nowy Targ",49.4833,20.0333,"Poland","minor",395791,""
"Najrān",17.4917,44.1322,"Saudi Arabia","admin",534475,""
"San Andrés",12.5847,-81.7006,"Colombia","admin",77133,""
"São Francisco",-15.9489,-44.8639,"Brazil","",97347,""
"Itaporanga",-7.3039,-38.15,"Brazil","",79396,""
"Kobryn",52.2167,24.3667,"Belarus","minor",111442,""
"Bouaflé",6.9903,-5.7442,"Côte d'Ivoire","minor",542787,""
"Beckley",37.7878,-81.1841,"United States","",189757,"WV"
"Columbia",35.6235,-87.0486,"United States","",135870,"TN"
"Ceres",37.5953,-120.9625,"United States","",122202,"CA"
"Gajwel",17.8517,78.6828,"India","",914247,""
"Wood Buffalo",57.6042,-111.3284,"Canada","",915,""
"Ban Bang Rin",9.9532,98.6344,"Thailand","",503300,""
"Devarkonda",16.7,78.9333,"India","",579850,""
"Pijijiapan",15.6867,-93.2092,"Mexico","minor",146828,""
"Yanai",33.9639,132.1017,"Japan","",112743,""
"Mažeikiai",56.3111,22.3361,"Lithuania","admin",147691,""
"Villa Tunari",-16.9725,-65.42,"Bolivia","",131599,""
"Parelhas",-6.6878,-36.6578,"Brazil","",95987,""
"Sindhnūr",15.7833,76.7667,"India","",1125820,""
"San Agustín Acasaguastlán",14.95,-89.9667,"Guatemala","minor",69908,""
"Piombino",42.9348,10.5221,"Italy","",68873,""
"Campos Sales",-7.0739,-40.3758,"Brazil","",53886,""
"Salima",-13.7829,34.4333,"Malawi","admin",770658,""
"Novo Cruzeiro",-17.4678,-41.875,"Brazil","",71621,""
"Wittlich",49.9869,6.8897,"Germany","minor",302475,""
"Rtishchevo",52.25,43.7833,"Russia","",148788,""
"Oliveira",-20.6958,-44.8269,"Brazil","",80127,""
"Nālūt",31.8804,10.97,"Libya","admin",64325,""
"Borås",57.7304,12.92,"Sweden","minor",146437,""
"Ajaccio",41.9267,8.7369,"France","admin",149027,""
"Parral",-36.15,-71.8333,"Chile","",114147,""
"Debre Mark’os",10.34,37.72,"Ethiopia","",1764245,""
"Si Sa Ket",15.1072,104.3291,"Thailand","admin",599756,""
"Cabrobó",-8.5119,-39.3069,"Brazil","",69562,""
"Itaíba",-8.9478,-37.4228,"Brazil","",119189,""
"Otradnyy",53.3667,51.35,"Russia","",133033,""
"Burnie",-41.0636,145.8753,"Australia","",93094,""
"Wajimazakimachi",37.3906,136.8992,"Japan","",118021,""
"Şa‘dah",16.94,43.7592,"Yemen","admin",609427,""
"Tokmak",47.2514,35.7058,"Ukraine","minor",115789,""
"Cahama",-16.2833,14.3167,"Angola","",79419,""
"Zhanggu",30.8795,101.8822,"China","minor",124554,""
"Az Zubaydīyah",32.7588,45.1773,"Iraq","",433344,""
"Riacho de Santana",-13.6089,-42.9389,"Brazil","",53530,""
"Chāmrājnagar",11.9236,76.94,"India","",531077,""
"Regeneração",-6.2378,-42.6878,"Brazil","",101329,""
"Sayansk",54.1167,102.1667,"Russia","",96672,""
"Moquegua",-17.2,-70.9333,"Peru","admin",76887,""
"Karakol",42.5,78.3833,"Kyrgyzstan","admin",285451,""
"Blois",47.5939,1.3281,"France","minor",182275,""
"Sokhumi",43.0033,41.0153,"Georgia","admin",130525,""
"Richmond",39.8318,-84.8905,"United States","",122377,"IN"
"Roxas",10.3333,119.3333,"Philippines","",101195,""
"Paragominas",-2.9667,-47.4833,"Brazil","",155588,""
"Titusville",28.5727,-80.8193,"United States","",116401,"FL"
"Salaberry-de-Valleyfield",45.25,-74.13,"Canada","",49647,""
"Helena",46.5965,-112.0202,"United States","admin",62028,"MT"
"Thohoyandou",-22.95,30.4833,"South Africa","",1065897,""
"Barreirinhas",-2.7469,-42.8258,"Brazil","",120834,""
"Skövde",58.3995,13.8538,"Sweden","minor",203031,""
"Bafia",4.7425,11.2247,"Cameroon","",366609,""
"Nuoro",40.3201,9.3281,"Italy","minor",167957,""
"Kasese",0.23,29.9883,"Uganda","admin",1467960,""
"Belalcázar",2.6469,-75.9717,"Colombia","minor",98522,""
"Cururupu",-1.8278,-44.8678,"Brazil","",121209,""
"Loanda",-22.9228,-53.1369,"Brazil","",105604,""
"Mocuba",-16.8391,36.9855,"Mozambique","",448374,""
"Turiaçu",-1.6628,-45.3719,"Brazil","",60044,""
"Jorhāt",26.75,94.2167,"India","",2869798,""
"Mocuba",-16.8496,38.26,"Mozambique","",236785,""
"Medicine Hat",50.0417,-110.6775,"Canada","",76781,""
"Wum",6.3833,10.0667,"Cameroon","",163436,""
"Chulucanas",-5.1092,-80.1625,"Peru","",226181,""
"Chur",46.8521,9.5297,"Switzerland","admin",218746,""
"Vilnohirsk",48.4824,34.0189,"Ukraine","",121979,""
"Muskogee",35.7431,-95.3568,"United States","",161033,"OK"
"Alenquer",-1.9419,-54.7378,"Brazil","",80351,""
"Villeta",5.0128,-74.4731,"Colombia","minor",118094,""
"Leopoldina",-21.5319,-42.6428,"Brazil","",86749,""
"Porecatu",-22.7558,-51.3789,"Brazil","",86475,""
"Türkmenbaşy",40.023,52.9697,"Turkmenistan","",123094,""
"Adrar",27.8742,-0.2939,"Algeria","admin",161927,""
"Teodoro Sampaio",-22.5328,-52.1678,"Brazil","",80824,""
"Lodja",-3.5242,23.5964,"Congo (Kinshasa)","",27201,""
"Otukpo",7.1904,8.13,"Nigeria","minor",1471530,""
"Shchūchīnsk",52.9333,70.2,"Kazakhstan","",72336,""
"Xinhua",23.6272,105.62,"China","minor",660376,""
"Oyem",1.6,11.5667,"Gabon","admin",227262,""
"Corsicana",32.0824,-96.4665,"United States","",161638,"TX"
"Puerto Guzmán",0.9636,-76.4086,"Colombia","minor",98607,""
"Matehuala",23.6528,-100.6444,"Mexico","minor",176524,""
"Ródos",36.4412,28.2225,"Greece","minor",185980,""
"Victoria",-38.2167,-72.3333,"Chile","",90022,""
"Molepolole",-24.4066,25.4951,"Botswana","admin",46199,""
"Casper",42.842,-106.3207,"United States","",81607,"WY"
"Cachoeira Paulista",-22.665,-45.0094,"Brazil","",120459,""
"Sierra Vista",31.563,-110.3153,"United States","",91037,"AZ"
"Twin Falls",42.5645,-114.4615,"United States","",135437,"ID"
"Limerick",52.6653,-8.6238,"Ireland","admin",316593,""
"Borşa",47.6553,24.6631,"Romania","",113865,""
"Chanthaburi",12.6086,102.1039,"Thailand","admin",537262,""
"Soio",-6.1333,12.3667,"Angola","",269897,""
"Yuquan",40.4202,114.0865,"China","minor",730749,""
"Wagga Wagga",-35.1189,147.3689,"Australia","",77903,""
"Dimbokro",6.6505,-4.71,"Côte d'Ivoire","admin",365730,""
"Tejen",37.3786,60.496,"Turkmenistan","",162311,""
"Tôlan̈aro",-25.0325,46.9833,"Madagascar","minor",212168,""
"Lębork",54.55,17.75,"Poland","minor",300707,""
"Conner",17.8,121.2333,"Philippines","",67027,""
"Tzaneen",-23.8333,30.1667,"South Africa","",520129,""
"Hancha",37.8572,109.4972,"China","",237117,""
"Pôrto de Moz",-1.7478,-52.2378,"Brazil","",54287,""
"Lào Cai",22.4194,103.995,"Vietnam","admin",721106,""
"Famagusta",35.1167,33.95,"Cyprus","admin",65346,""
"Pitanga",-24.7569,-51.7608,"Brazil","",64076,""
"Svitavy",49.756,16.4683,"Czechia","",153381,""
"Izu",34.9767,138.9469,"Japan","",115855,""
"Placerville",38.7308,-120.7978,"United States","",196217,"CA"
"Tobatí",-25.26,-57.0814,"Paraguay","",228486,""
"Tozeur",33.9197,8.1336,"Tunisia","admin",108274,""
"Tokmok",42.839,75.291,"Kyrgyzstan","",236724,""
"Kissidougou",9.1905,-10.12,"Guinea","minor",323339,""
"Chitré",7.9667,-80.4333,"Panama","admin",292496,""
"Āksum",14.1284,38.7173,"Ethiopia","",1356159,""
"Lavras da Mangabeira",-6.7528,-38.9719,"Brazil","",63379,""
"Hīt",33.6417,42.825,"Iraq","minor",104483,""
"Bolgatanga",10.7856,-0.8514,"Ghana","admin",677641,""
"Chocontá",5.1467,-73.6825,"Colombia","minor",183317,""
"New Plymouth",-39.0578,174.0742,"New Zealand","",103762,""
"Belebey",54.1,54.1333,"Russia","",161764,""
"Zalău",47.1911,23.0572,"Romania","admin",161169,""
"Coyuca de Catalán",18.3256,-100.6992,"Mexico","minor",254127,""
"Valmiera",57.5381,25.4231,"Latvia","admin",120847,""
"Traralgon",-38.1958,146.5403,"Australia","",121924,""
"Trollhättan",58.2671,12.3,"Sweden","minor",220679,""
"Paranaíba",-19.6769,-51.1908,"Brazil","",69264,""
"Zacoalco de Torres",20.2333,-103.5833,"Mexico","minor",111633,""
"Slavyansk-na-Kubani",45.2586,38.1247,"Russia","minor",214224,""
"Belogorsk",50.9167,128.4833,"Russia","",121645,""
"Wang Nam Yen",13.5004,102.1806,"Thailand","minor",1025774,""
"Ilo",-17.6486,-71.3306,"Peru","",75744,""
"Ban Dung",17.704,103.2623,"Thailand","minor",441741,""
"Goz-Beida",12.2236,21.4144,"Chad","admin",101270,""
"Salina",38.8137,-97.6143,"United States","",97450,"KS"
"Port Jervis",41.3783,-74.6909,"United States","",92139,"NY"
"North Bay",46.3,-79.45,"Canada","",88912,""
"Volkhov",59.9167,32.35,"Russia","",100113,""
"Garissa",-0.4569,39.6583,"Kenya","admin",234635,""
"Kiamba",5.9833,124.6167,"Philippines","",41266,""
"Sora",41.7167,13.6167,"Italy","",121925,""
"Zolochiv",49.8075,24.9031,"Ukraine","minor",190918,""
"Liberia",10.6338,-85.4333,"Costa Rica","admin",279986,""
"Skierniewice",51.9528,20.1417,"Poland","minor",155328,""
"Qarqan",38.1338,85.5333,"China","minor",64404,""
"Lake Havasu City",34.5006,-114.3113,"United States","",80584,"AZ"
"Sayanogorsk",53.1,91.4,"Russia","",110193,""
"Granbury",32.4484,-97.7685,"United States","",113814,"TX"
"Beloretsk",53.9667,58.4,"Russia","",101915,""
"Jaisalmer",26.9167,70.9167,"India","",231145,""
"Calkiní",20.3667,-90.05,"Mexico","minor",115616,""
"Kozáni",40.3007,21.789,"Greece","admin",195010,""
"Dosso",13.05,3.2,"Niger","admin",760451,""
"Masaka",-0.3296,31.73,"Uganda","admin",1599097,""
"La Teste-de-Buch",44.62,-1.1457,"France","",86366,""
"San Bernardo del Viento",9.355,-75.9544,"Colombia","minor",73032,""
"Kungur",57.4333,56.9333,"Russia","minor",156886,""
"Kirishi",59.4497,32.0086,"Russia","",86222,""
"Shanhe",35.4844,108.364,"China","minor",136017,""
"Debre Birhan",9.6804,39.53,"Ethiopia","",1309596,""
"João Câmara",-5.5378,-35.82,"Brazil","",138014,""
"Ishim",56.1167,69.5,"Russia","",109478,""
"Great Falls",47.5022,-111.2995,"United States","",73805,"MT"
"Pervomaiskyi",49.3869,36.2142,"Ukraine","",184948,""
"Solwezi",-12.1833,26.4,"Zambia","admin",299023,""
"Svyetlahorsk",52.6333,29.7333,"Belarus","minor",178543,""
"Benton Harbor",42.1159,-86.4488,"United States","",52939,"MI"
"Rafḩā",29.6202,43.4948,"Saudi Arabia","",64034,""
"Chipindo",-13.8244,15.8,"Angola","",136848,""
"Faīẕābād",37.1298,70.5792,"Afghanistan","admin",715010,""
"Meulaboh",4.1333,96.1167,"Indonesia","minor",259795,""
"Binga",2.3834,20.42,"Congo (Kinshasa)","",276775,""
"Kamenka",53.1833,44.05,"Russia","",113813,""
"Mount Pleasant",43.5966,-84.7759,"United States","",194344,"MI"
"Goonellabah",-28.8167,153.3167,"Australia","",155053,""
"Greenville",33.1116,-96.1098,"United States","",156036,"TX"
"Svetlograd",45.3308,42.8511,"Russia","",163032,""
"Nelson",-41.2931,173.2381,"New Zealand","admin",246439,""
"Vawkavysk",53.1667,24.4667,"Belarus","minor",144896,""
"Qinggang",46.69,126.1,"China","minor",668462,""
"San José",-34.3333,-56.7167,"Uruguay","admin",96023,""
"Ibimirim",-8.5408,-37.6903,"Brazil","",34948,""
"Dhupgāri",26.6,89.02,"India","",1495995,""
"Imi-n-Tanout",31.177,-8.8504,"Morocco","",251705,""
"Bluefield",37.2608,-81.2143,"United States","",127621,"WV"
"Rodez",44.3506,2.575,"France","minor",206746,""
"Jaru",-10.4389,-62.4664,"Brazil","",64543,""
"Fonseca",10.8858,-72.8481,"Colombia","minor",106341,""
"Lagoa Vermelha",-28.2089,-51.5258,"Brazil","",86966,""
"Kangbao",41.8513,114.6091,"China","minor",360560,""
"Fritissa",33.6167,-3.55,"Morocco","",104919,""
"Mozhaysk",55.5,36.0333,"Russia","",231777,""
"La Troncal",-2.4278,-79.3389,"Ecuador","",235414,""
"Zarand",30.8128,56.5639,"Iran","minor",143082,""
"Chokwé",-24.5253,33.0086,"Mozambique","",345642,""
"Guiglo",6.5436,-7.4933,"Côte d'Ivoire","minor",853462,""
"Dédougou",12.4667,-3.4667,"Burkina Faso","admin",310744,""
"Mutsu",41.2931,141.1831,"Japan","",61443,""
"Nandaime",11.75,-86.05,"Nicaragua","minor",161399,""
"Rundu",-17.9167,19.7667,"Namibia","admin",144428,""
"Aïn Sefra",32.75,-0.5833,"Algeria","",116350,""
"Cruz del Eje",-30.7333,-64.8,"Argentina","minor",106129,""
"Artigas",-30.4028,-56.4704,"Uruguay","admin",67892,""
"Kitale",1.0167,35,"Kenya","admin",2072320,""
"Gorno-Altaysk",51.96,85.96,"Russia","admin",131334,""
"Anuradhapura",8.335,80.4108,"Sri Lanka","admin",1134563,""
"Gonābād",34.3528,58.6836,"Iran","minor",98725,""
"Grande Prairie",55.1708,-118.7947,"Canada","",91195,""
"Šibenik",43.7339,15.8956,"Croatia","admin",52005,""
"Nankana Sahib",31.4492,73.7124,"Pakistan","",2681535,""
"Kalispell",48.2156,-114.3262,"United States","",108188,"MT"
"Kasongo",-4.45,26.66,"Congo (Kinshasa)","",483827,""
"São Borja",-28.6608,-56.0039,"Brazil","",68573,""
"Krnov",50.0897,17.7039,"Czechia","",128556,""
"Beledweyne",4.736,45.204,"Somalia","admin",314396,""
"Prachuap Khiri Khan",11.8089,99.798,"Thailand","admin",193023,""
"Khvāf",34.5764,60.1408,"Iran","minor",153109,""
"Yurimaguas",-5.9,-76.0833,"Peru","",86192,""
"Graaff-Reinet",-32.2522,24.5406,"South Africa","",41763,""
"Lozova",48.8892,36.3161,"Ukraine","minor",98841,""
"San Fernando",12.3167,122.6,"Philippines","",52003,""
"São Tomé",0.3333,6.7333,"Sao Tome And Principe","primary",202809,""
"Sonsón",5.7094,-75.3106,"Colombia","minor",90157,""
"Khutubi",44.1874,86.8946,"China","minor",282320,""
"Phetchaburi",13.1119,99.9458,"Thailand","admin",378920,""
"Zaqatala",41.6336,46.6433,"Azerbaijan","admin",325971,""
"Nkawkaw",6.5505,-0.78,"Ghana","",637599,""
"Belize City",17.4986,-88.1886,"Belize","admin",128132,""
"Klamath Falls",42.2191,-121.7754,"United States","",66188,"OR"
"Griffin",33.2418,-84.2747,"United States","",288878,"GA"
"Bastogne",50.0042,5.72,"Belgium","minor",124966,""
"Goldsboro",35.3778,-77.972,"United States","",199771,"NC"
"Singida",-4.8186,34.7506,"Tanzania","admin",600829,""
"Tanjungpandan",-2.75,107.65,"Indonesia","minor",230076,""
"Quincy",39.9335,-91.3799,"United States","",122068,"IL"
"Puerto Peñasco",31.3167,-113.5369,"Mexico","minor",85828,""
"Santa Rosa del Sur",7.9633,-74.0533,"Colombia","minor",63834,""
"Tuapse",44.1,39.0833,"Russia","minor",148207,""
"Kolda",12.8958,-14.9408,"Senegal","admin",418456,""
"Chistopol",55.3648,50.6407,"Russia","",171617,""
"Bodø",67.2833,14.3833,"Norway","admin",68915,""
"Amarante do Maranhão",-5.5669,-46.7419,"Brazil","",69197,""
"Zouerate",22.7344,-12.4725,"Mauritania","admin",56692,""
"Grajaú",-5.8189,-46.1389,"Brazil","",74602,""
"Segovia",40.9481,-4.1183,"Spain","minor",117410,""
"Kos",36.8153,27.1103,"Greece","minor",218962,""
"Prijepolje",43.5439,19.6514,"Serbia","admin",229921,""
"Madang",-5.2248,145.7853,"Papua New Guinea","admin",194087,""
"Ferkessédougou",9.5928,-5.1944,"Côte d'Ivoire","minor",200217,""
"Shū",43.5953,73.7448,"Kazakhstan","",95157,""
"Durazno",-33.3833,-56.5167,"Uruguay","admin",72470,""
"Ibotirama",-12.185,-43.2208,"Brazil","",58966,""
