"metro","lat","long","country","capital","population","state"
"Bozhou",33.8626,115.7742,"China","",3624340,""
"Amman",31.95,35.9333,"Jordan","primary",7118072,""
"Santo Domingo",18.4764,-69.8933,"Dominican Republic","primary",4758986,""
"Pyongyang",39.03,125.73,"North Korea","primary",5860410,""
"Bridgeport",41.1918,-73.1953,"United States","",2763511,"CT"
"Qincheng",34.5809,105.7311,"China","minor",2285075,""
"Yibin",28.7596,104.64,"China","minor",3291184,""
"Linfen",36.0812,111.5087,"China","",3199593,""
"Harbin",45.75,126.6333,"China","admin",6440397,""
"Berlin",52.5167,13.3833,"Germany","primary",5076049,""
"Xiaoxita",30.7083,111.2803,"China","minor",2449896,""
"Dalian",38.9,121.6,"China","",4377865,""
"Luzhou",28.8918,105.4409,"China","minor",3657690,""
"Guigang",23.0961,109.6092,"China","minor",2454620,""
"Xinpu",34.5906,119.1801,"China","minor",3890989,""
"Kabul",34.5328,69.1658,"Afghanistan","primary",5494834,""
"Chifeng",42.2663,118.9223,"China","minor",1585205,""
"Medellín",6.2447,-75.5748,"Colombia","admin",4429609,""
"Dubai",25.2697,55.3094,"United Arab Emirates","admin",5556231,""
"Puyang",35.7639,115.03,"China","minor",5431655,""
"Cebu City",10.293,123.902,"Philippines","admin",4286203,""
"Suining",30.5098,105.5737,"China","minor",3335189,""
"Qingyuan",23.6842,113.0507,"China","minor",2132598,""
"Naples",40.8333,14.25,"Italy","admin",4586554,""
"Rome",41.8931,12.4828,"Italy","primary",4594277,""
"Recife",-8.0539,-34.8808,"Brazil","admin",4326510,""
"Faisalabad",31.418,73.079,"Pakistan","minor",10628316,""
"Zhenjiang",32.2109,119.4551,"China","minor",2874650,""
"Vancouver",49.25,-123.1,"Canada","",2588622,""
"Fuzhou",27.9814,116.3577,"China","",2914301,""
"Liuzhou",24.3264,109.4281,"China","minor",2970779,""
"Monterrey",25.6667,-100.3,"Mexico","admin",8967312,""
"Wuhu",31.334,118.3622,"China","minor",4727055,""
"Algiers",36.7764,3.0586,"Algeria","primary",6211664,""
"Jeddah",21.5428,39.1728,"Saudi Arabia","",4629166,""
"Dandong",40.1167,124.3833,"China","",2857499,""
"Changzhi",36.1953,113.097,"China","minor",3251838,""
"Chuzhou",32.3062,118.3115,"China","",1176751,""
"Birmingham",52.48,-1.9025,"United Kingdom","",5296915,""
"Cleveland",41.4767,-81.6804,"United States","",2317411,"OH"
"Kano",12,8.5167,"Nigeria","admin",9412018,""
"Yingkou",40.6653,122.2297,"China","minor",2649669,""
"Baojishi",34.3609,107.1751,"China","",2593215,""
"Taichung",24.15,120.6667,"Taiwan","admin",4916073,""
"Ürümqi",43.8225,87.6125,"China","admin",4315822,""
"Frankfurt",50.1136,8.6797,"Germany","minor",4624115,""
"Lanzhou",36.0617,103.8318,"China","admin",3636913,""
"Leeds",53.7997,-1.5492,"United Kingdom","",4751416,""
"Mirzāpur",25.15,82.58,"India","",6566012,""
"Orlando",28.4772,-81.3369,"United States","",2653109,"FL"
"Baicheng",23.901,106.6194,"China","minor",862777,""
"Porto Alegre",-30.0328,-51.23,"Brazil","admin",3910178,""
"Mudanjiang",44.5861,129.5997,"China","minor",1627946,""
"Bandung",-6.95,107.5667,"Indonesia","admin",13368270,""
"Stuttgart",48.7761,9.1775,"Germany","admin",4302054,""
"Sacramento",38.5667,-121.4683,"United States","admin",2378954,"CA"
"Kuaidamao",41.7302,125.9471,"China","minor",1307759,""
"Xinzhou",38.4178,112.7233,"China","minor",1269627,""
"Chengde",40.9739,117.9322,"China","",1391489,""
"Campinas",-22.9009,-47.0573,"Brazil","",4115913,""
"Las Vegas",36.2333,-115.2654,"United States","",2059875,"NV"
"Guang’an",30.4673,106.6336,"China","minor",2827659,""
"Kyiv",50.45,30.5236,"Ukraine","primary",3633654,""
"Salvador",-12.9708,-38.5108,"Brazil","admin",3975315,""
"Hechi",24.6928,108.085,"China","minor",848650,""
"Chaoyang",41.5757,120.4486,"China","",1453371,""
"Shiyan",32.6351,110.7755,"China","minor",1559594,""
"St. Louis",38.6358,-90.2451,"United States","",2366085,"MO"
"Yangjiang",21.8556,111.9627,"China","minor",2256334,""
"Portland",45.5372,-122.65,"United States","",2420976,"OR"
"Tieling",42.2841,123.8365,"China","",1821314,""
"Cali",3.44,-76.5197,"Colombia","admin",3482024,""
"Ningde",26.6617,119.5228,"China","minor",1437192,""
"Qinhuangdao",39.9398,119.5881,"China","",2266431,""
"Hanzhong",33.0794,107.026,"China","",2056699,""
"Fortaleza",-3.7275,-38.5275,"Brazil","admin",4016900,""
"Shaoguan",24.8011,113.5927,"China","minor",1700213,""
"Daqing",46.5979,125.008,"China","",2074549,""
"Kuwait City",29.375,47.98,"Kuwait","primary",3473240,""
"Siping",43.1715,124.3644,"China","",2018275,""
"Lucknow",26.847,80.947,"India","admin",10587310,""
"Lisbon",38.708,-9.139,"Portugal","primary",3041250,""
"Yulinshi",38.2655,109.7388,"China","",793779,""
"Santa Cruz",-17.7892,-63.1975,"Bolivia","admin",1226884,""
"Valencia",10.1667,-68,"Venezuela","admin",3007437,""
"Qinzhou",21.95,108.6167,"China","minor",1836099,""
"Bazhou",31.8576,106.7559,"China","minor",3064044,""
"Guayaquil",-2.19,-79.8875,"Ecuador","admin",4949868,""
"Leshan",29.5854,103.7575,"China","",3499340,""
"Eşfahān",32.6447,51.6675,"Iran","admin",3814477,""
"Surabaya",-7.2458,112.7378,"Indonesia","admin",9499301,""
"Ibadan",7.3964,3.9167,"Nigeria","admin",5171966,""
"Rawalpindi",33.6007,73.0679,"Pakistan","minor",8731045,""
"Wuzhou",23.4833,111.3167,"China","minor",1846324,""
"Huludao",40.7094,120.8378,"China","minor",606721,""
"Heyuan",23.7503,114.6923,"China","minor",1608601,""
"Tongren",27.7233,109.1885,"China","",1295409,""
"Bengbu",32.9354,117.3531,"China","",4217070,""
"San Jose",37.3019,-121.8486,"United States","",2157592,"CA"
"Brasília",-15.7939,-47.8828,"Brazil","primary",4009434,""
"Nanping",26.6448,118.1728,"China","minor",1157082,""
"Addis Ababa",9.0272,38.7369,"Ethiopia","primary",5832721,""
"Tongliao",43.6172,122.264,"China","minor",1126060,""
"Bacolod",10.6765,122.9509,"Philippines","admin",3250376,""
"Hartford",41.7661,-72.6834,"United States","admin",1839913,"CT"
"Pingdu",36.7833,119.9556,"China","",3110312,""
"Davao",7.0667,125.6,"Philippines","admin",3196671,""
"Jaipur",26.9167,75.8667,"India","admin",3052900,""
"Pittsburgh",40.4396,-79.9762,"United States","",1909764,"PA"
"Shaoyang",32.9387,119.8404,"China","minor",1284646,""
"Havana",23.1367,-82.3589,"Cuba","primary",2668975,""
"Baltimore",39.3051,-76.6144,"United States","",1760891,"MD"
"Baku",40.3667,49.8352,"Azerbaijan","primary",2893396,""
"Jingling",30.6667,113.1667,"China","",3313444,""
"Shanwei",22.7664,115.3331,"China","minor",2434831,""
"Hamburg",53.55,10,"Germany","admin",3538870,""
"Munich",48.1375,11.575,"Germany","admin",3531548,""
"Curitiba",-25.4297,-49.2719,"Brazil","admin",3455821,""
"Mashhad",36.3069,59.6042,"Iran","admin",3455588,""
"Rotterdam",51.9225,4.4792,"Netherlands","minor",3304703,""
"Lille",50.6278,3.0583,"France","admin",3851089,""
"Vila Nova de Gaia",41.1333,-8.6167,"Portugal","minor",2891763,""
"Pingxiang",27.6333,113.85,"China","minor",2676104,""
"Kansas City",39.1239,-94.5541,"United States","",1990654,"MO"
"Sanaa",15.35,44.2,"Yemen","primary",3694207,""
"Meishan",30.0575,103.8381,"China","",1889672,""
"Sanming",26.2658,117.6302,"China","minor",994730,""
"Jerusalem",31.7833,35.2167,"Israel","primary",5194075,""
"Ningbo",29.875,121.5492,"China","minor",7054657,""
"Xuanzhou",30.9475,118.7518,"China","",1531968,""
"Putian",25.4394,119.0103,"China","minor",2832717,""
"La Paz",-16.4942,-68.1475,"Bolivia","primary",1410908,""
"Hohhot",40.8151,111.6629,"China","admin",2788038,""
"Longyan",25.0881,117.0244,"China","minor",1288422,""
"Tashkent",41.3,69.2667,"Uzbekistan","primary",4856856,""
"Dingxi",35.5806,104.6263,"China","minor",1096671,""
"Daegu",35.8667,128.6,"South Korea","admin",3522503,""
"Bezwāda",16.5167,80.6167,"India","",5701791,""
"Weihai",37.5,122.1,"China","minor",1841891,""
"Rizhao",35.4164,119.4331,"China","minor",2548986,""
"Salt Lake City",40.7777,-111.9306,"United States","admin",2030024,"UT"
"Haiphong",20.8,106.6667,"Vietnam","admin",4856717,""
"Budapest",47.4983,19.0408,"Hungary","primary",3169941,""
"Baguio City",16.4152,120.5956,"Philippines","admin",2788154,""
"Takasaki",36.3167,139,"Japan","",3184250,""
"Ankang",32.6877,109.0235,"China","",1562958,""
"Daejeon",36.351,127.385,"South Korea","admin",3466391,""
"Manchester",53.4794,-2.2453,"United Kingdom","",5443536,""
"Cawnpore",26.4725,80.3311,"India","",7679164,""
"Okayama",34.65,133.9167,"Japan","admin",2636295,""
"Puebla",19.0333,-98.1833,"Mexico","admin",4354217,""
"Baoshan",25.1211,99.169,"China","",1400629,""
"Cincinnati",39.1413,-84.5061,"United States","",2053750,"OH"
"Santiago",19.45,-70.7,"Dominican Republic","admin",2382158,""
"Baotou",40.6562,109.8345,"China","",2787485,""
"Xintai",35.91,117.78,"China","",3417470,""
"Brisbane",-27.4678,153.0281,"Australia","admin",2266137,""
"Charlotte",35.208,-80.8304,"United States","",2463184,"NC"
"Providence",41.823,-71.4187,"United States","admin",1479142,"RI"
"Sapporo",43.0621,141.3544,"Japan","admin",2582838,""
"Antananarivo",-18.9386,47.5214,"Madagascar","primary",3868283,""
"Longba",33.535,105.349,"China","",1068565,""
"Anshun",26.2456,105.934,"China","",2352714,""
"Yanjiang",30.1256,104.6397,"China","minor",2468137,""
"Vishākhapatnam",17.7333,83.3167,"India","",3912723,""
"Chattogram",22.335,91.8325,"Bangladesh","admin",8378781,""
"Zhuhai",22.2769,113.5678,"China","minor",2090613,""
"Utsunomiya",36.55,139.8833,"Japan","admin",2481389,""
"Buffalo",42.9016,-78.8487,"United States","",1471940,"NY"
"Gujranwala",32.15,74.1833,"Pakistan","minor",9339484,""
"Sale",34.05,-6.8167,"Morocco","",2919396,""
"Jiamusi",46.8081,130.3653,"China","minor",1597353,""
"Aachen",50.7762,6.0838,"Germany","minor",2793565,""
"Luohe",33.583,114.0109,"China","minor",999212,""
"Xiping",40.082,113.2981,"China","minor",2925015,""
"Pikine",14.75,-17.4,"Senegal","",4447866,""
"Lincang",23.8864,100.0871,"China","",720600,""
"Jingdezhen",29.2942,117.2036,"China","minor",2253884,""
"Harare",-17.8292,31.0522,"Zimbabwe","primary",3431132,""
"Yaoundé",3.8578,11.5181,"Cameroon","primary",4554782,""
"Xining",36.6239,101.7787,"China","admin",2856936,""
"Zürich",47.3744,8.5411,"Switzerland","admin",3550615,""
"Ouagadougou",12.3686,-1.5275,"Burkina Faso","primary",4384047,""
"Guangyuan",32.4353,105.8398,"China","",1216319,""
"Baicheng",45.6148,122.832,"China","minor",1073095,""
"Hebi",35.7497,114.2887,"China","",3570508,""
"Milwaukee",43.0642,-87.9673,"United States","",1768633,"WI"
"Accra",5.6037,-0.187,"Ghana","primary",4973632,""
"Shangzhou",33.868,109.9244,"China","",1318681,""
"Bielefeld",52.0167,8.5333,"Germany","minor",2733086,""
