"county","state","lat","long","population"
"Chatham","Georgia",32.0043,-81.1329,289649
"Ottawa","Michigan",42.9598,-85.9961,289162
"Clayton","Georgia",33.5419,-84.3577,287560
"Thurston","Washington",46.9258,-122.8332,284698
"Winnebago","Illinois",42.3363,-89.1609,283635
"San Luis Obispo","California",35.3871,-120.4044,282517
"Cleveland","Oklahoma",35.2031,-97.3265,282189
"Dauphin","Pennsylvania",40.4154,-76.7795,277071
"Webb","Texas",27.7611,-99.3316,274847
"York","South Carolina",34.9748,-81.1845,273887
"Merced","California",37.1919,-120.7177,273661
"Benton","Arkansas",36.3387,-94.2561,273510
"Santa Cruz","California",37.0562,-122.0018,273170
"Erie","Pennsylvania",41.9925,-80.0327,272046
"St. Joseph","Indiana",41.6167,-86.2899,270881
"Kitsap","Washington",47.613,-122.6716,268945
"Alachua","Florida",29.6748,-82.3577,268105
"New London","Connecticut",41.4867,-72.1014,266868
"Atlantic","New Jersey",39.4777,-74.661,264650
"Madison","Illinois",38.8297,-89.9049,264403
"Kalamazoo","Michigan",42.2455,-85.5312,264322
"Brown","Wisconsin",44.4525,-88.0037,262559
"St. Clair","Illinois",38.4703,-89.9284,261186
"Buncombe","North Carolina",35.6112,-82.5301,259576
"Marin","California",38.0735,-122.7235,259441
"Washington","Minnesota",45.0388,-92.8838,259072
"St. Tammany","Louisiana",30.4102,-89.9583,258447
"Frederick","Maryland",39.4722,-77.398,255955
"St. Johns","Florida",29.9016,-81.4407,255410
"Weber","Utah",41.2698,-111.9134,255284
"McLennan","Texas",31.5524,-97.2018,254045
"Cherokee","Georgia",34.2439,-84.4762,253780
"Harford","Maryland",39.5611,-76.3171,253736
"Jefferson","Texas",29.8841,-94.1629,253136
"Cumberland","Pennsylvania",40.1636,-77.2655,251487
"Yakima","Washington",46.457,-120.7385,250649
"Clay","Missouri",39.3105,-94.4209,246480
"Norfolk","Virginia",36.8945,-76.259,244300
"Lafayette","Louisiana",30.2068,-92.0639,243692
"Caddo","Louisiana",32.5806,-93.8823,243243
"Chesapeake","Virginia",36.6778,-76.3023,242647
"Forsyth","Georgia",34.2255,-84.1251,236605
"Arlington","Virginia",38.8786,-77.1011,236434
"Washington","Arkansas",35.9791,-94.2156,236198
"Union","North Carolina",34.9884,-80.5307,235767
"Hinds","Mississippi",32.2667,-90.4429,235604
"Warren","Ohio",39.4277,-84.1668,232540
"Yavapai","Arizona",34.5998,-112.5537,232396
"Williamson","Tennessee",35.8938,-86.8987,232380
"New Hanover","North Carolina",34.2328,-77.8847,231448
